date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,--,10.6,4.1
2026-01-02,1.0,10.3,1.2
2026-01-03,--,9.1,1.0
2026-01-04,--,11.4,5.0
2026-01-05,--,13.1,2.4
2026-01-06,--,11.4,4.0
2026-01-07,0.5,7.9,2.0
2026-01-08,--,12.3,0.4
2026-01-09,0.0,10.1,2.0
2026-01-10,0.0,15.7,2.3
2026-01-11,--,16.1,4.7
2026-01-12,--,8.6,3.5
2026-01-13,--,14.4,1.2
2026-01-14,--,12.3,4.3
2026-01-15,--,12.6,3.8
2026-01-16,--,18.1,7.7
2026-01-17,--,14.1,6.0
2026-01-18,--,14.0,6.3
2026-01-19,--,13.4,5.4
2026-01-20,--,11.1,3.1
2026-01-21,0.0,6.9,1.9
2026-01-22,--,7.5,0.0
2026-01-23,--,8.3,-0.8
2026-01-24,--,10.4,0.0
2026-01-25,--,7.8,0.6
2026-01-26,--,9.1,1.5
2026-01-27,0.0,8.7,2.6
2026-01-28,--,9.5,1.9
2026-01-29,--,9.1,2.3
2026-01-30,0.0,8.8,1.1
2026-01-31,--,10.1,1.0
2026-02-01,--,11.1,0.7
2026-02-02,--,11.0,2.1
2026-02-03,--,10.9,1.6
2026-02-04,--,10.7,1.8
2026-02-05,--,12.0,3.7
2026-02-06,--,15.4,3.6
2026-02-07,2.0,7.9,0.8
2026-02-08,5.0,1.7,-1.8
2026-02-09,--,8.4,-1.8
2026-02-10,--,11.8,1.0
2026-02-11,15.5,12.3,4.8
2026-02-12,--,10.9,4.1
2026-02-13,--,12.5,3.2
2026-02-14,--,15.2,3.4
2026-02-15,--,16.3,8.7
2026-02-16,4.0,13.4,4.9
2026-02-17,2.0,8.7,2.6
2026-02-18,0.0,12.1,4.8
2026-02-19,--,11.6,2.9
2026-02-20,--,11.4,2.4
2026-02-21,--,13.8,4.2
2026-02-22,--,18.1,6.0
2026-02-23,--,21.7,12.3
2026-02-24,--,17.6,10.2
2026-02-25,71.0,11.7,6.1
2026-02-26,0.0,11.7,6.2
2026-02-27,--,15.8,8.7
2026-02-28,--,21.5,11.1
2026-03-01,--,17.3,8.7
2026-03-02,0.0,14.3,9.8
2026-03-03,17.5,11.6,4.6
2026-03-04,29.0,14.8,4.3
2026-03-05,--,16.9,7.1
2026-03-06,--,15.7,5.3
2026-03-07,3.5,17.5,8.8
2026-03-08,--,12.3,5.4
2026-03-09,0.0,13.4,4.4
2026-03-10,0.5,8.3,3.8
2026-03-11,--,12.0,2.5
2026-03-12,--,12.9,4.7
2026-03-13,--,9.7,4.2
2026-03-14,--,14.3,6.5
2026-03-15,--,14.4,6.6
2026-03-16,0.0,13.7,8.2
2026-03-17,--,14.4,7.9
2026-03-18,--,16.3,8.7
2026-03-19,1.5,18.9,11.8
2026-03-20,1.0,13.0,8.0
2026-03-21,--,15.5,5.6
2026-03-22,--,15.6,5.6
2026-03-23,1.5,16.2,9.6
2026-03-24,--,17.9,9.6
2026-03-25,7.5,14.7,10.9
2026-03-26,18.0,14.7,11.2
2026-03-27,0.5,17.0,10.2
2026-03-28,1.5,17.7,9.3
2026-03-29,--,21.0,11.4
2026-03-30,--,20.5,12.4
2026-03-31,6.5,20.8,16.2
2026-04-01,13.5,18.2,12.5
2026-04-02,21.5,17.0,9.4
2026-04-03,--,18.2,8.5
2026-04-04,5.5,19.0,12.0
2026-04-05,1.5,21.8,17.5
2026-04-06,--,22.3,15.4
2026-04-07,1.5,19.3,10.3
2026-04-08,--,18.3,8.1
2026-04-09,0.0,20.6,11.8
2026-04-10,12.5,21.4,16.4
2026-04-11,--,25.6,16.8
2026-04-12,--,21.0,15.7
2026-04-13,--,21.5,15.8
2026-04-14,--,23.1,15.6
2026-04-15,6.0,23.5,14.3
2026-04-16,2.5,20.1,11.3
2026-04-17,--,19.1,8.9
2026-04-18,--,21.0,12.6
2026-04-19,--,24.9,13.9
2026-04-20,--,23.8,15.1
2026-04-21,0.5,25.3,15.4
2026-04-22,--,23.4,12.2
2026-04-23,25.5,19.5,13.3
2026-04-24,0.5,18.3,12.1
2026-04-25,--,19.0,11.5
2026-04-26,--,21.7,10.7
2026-04-27,37.0,21.1,13.9
2026-04-28,--,24.2,12.8
2026-04-29,--,20.6,14.7
2026-04-30,3.5,16.3,11.8
2026-05-01,57.0,22.4,11.5
2026-05-02,--,26.0,15.8
2026-05-03,--,24.4,16.6
2026-05-04,0.0,26.9,17.2
2026-05-05,--,22.7,13.2
2026-05-06,1.5,22.0,16.0
2026-05-07,2.0,24.1,17.3
2026-05-08,--,25.0,19.7
2026-05-09,--,24.0,16.6
2026-05-10,--,23.9,15.0
2026-05-11,--,24.3,17.1
2026-05-12,--,25.3,16.3
2026-05-13,0.0,25.1,15.7
2026-05-14,--,25.6,14.7
2026-05-15,--,23.8,13.7
2026-05-16,--,26.4,15.3
2026-05-17,--,29.1,16.3
2026-05-18,--,26.5,16.9
2026-05-19,--,26.6,20.3
2026-05-20,--,27.5,21.9
2026-05-21,13.0,24.6,15.1
2026-05-22,30.5,15.4,11.7
2026-05-23,--,19.6,11.9
2026-05-24,0.0,23.7,13.8
2026-05-25,--,26.5,17.9
2026-05-26,--,26.9,19.0
2026-05-27,--,28.0,19.9
2026-05-28,0.0,25.9,21.5
2026-05-29,24.5,32.2,19.5
2026-05-30,--,28.2,18.7
2026-05-31,--,28.3,21.3
2026-06-01,--,31.1,19.6
2026-06-02,2.0,26.1,19.8
2026-06-03,107.0,23.5,18.1
2026-06-04,--,24.3,18.6
2026-06-05,--,19.2,15.5
2026-06-06,--,23.2,15.1
2026-06-07,12.0,21.2,15.8
2026-06-08,9.0,22.8,18.8
