date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,2.0,-7.9,-11.8
2026-01-02,5.5,-4.3,-12.9
2026-01-03,0.5,-1.7,-7.6
2026-01-04,3.0,-3.2,-6.9
2026-01-05,0.5,-6.0,-13.6
2026-01-06,0.5,-6.0,-18.2
2026-01-07,1.5,-0.5,-13.4
2026-01-08,6.0,-0.5,-8.8
2026-01-09,1.5,-4.3,-16.0
2026-01-10,3.5,1.7,-7.2
2026-01-11,3.5,4.3,-5.2
2026-01-12,2.0,-3.3,-6.5
2026-01-13,8.0,-2.5,-7.4
2026-01-14,2.0,-6.9,-9.7
2026-01-15,1.0,-2.9,-7.9
2026-01-16,0.5,-1.5,-7.0
2026-01-17,0.0,-1.0,-7.1
2026-01-18,0.0,-5.0,-17.8
2026-01-19,3.0,-5.9,-19.7
2026-01-20,1.5,-4.4,-10.2
2026-01-21,10.0,-3.8,-9.1
2026-01-22,0.0,-4.8,-13.2
2026-01-23,1.5,-5.0,-13.4
2026-01-24,0.0,-5.3,-17.8
2026-01-25,0.0,-6.2,-15.8
2026-01-26,0.0,-7.0,-21.2
2026-01-27,0.0,-4.3,-12.0
2026-01-28,0.0,-4.6,-12.7
2026-01-29,0.0,-4.7,-15.9
2026-01-30,0.0,-2.1,-19.2
2026-01-31,3.5,-0.8,-6.3
2026-02-01,0.0,-3.0,-6.3
2026-02-02,1.0,-3.7,-13.6
2026-02-03,0.0,-1.5,-22.0
2026-02-04,0.5,3.4,-6.0
2026-02-05,0.0,0.8,-10.6
2026-02-06,7.0,1.0,-8.7
2026-02-07,0.0,-5.5,-14.8
2026-02-08,1.0,-5.2,-18.5
2026-02-09,1.0,-4.3,-16.6
2026-02-10,0.0,0.9,-7.9
2026-02-11,2.5,1.6,-5.5
2026-02-12,2.0,-3.2,-10.1
2026-02-13,3.0,-2.0,-13.0
2026-02-14,0.0,3.5,-7.3
2026-02-15,1.0,4.1,-2.8
2026-02-16,0.5,-1.4,-6.6
2026-02-17,0.0,0.3,-5.4
2026-02-18,0.0,3.2,-3.0
2026-02-19,0.0,1.6,-5.6
2026-02-20,0.0,0.8,-11.1
2026-02-21,0.0,6.0,-5.3
2026-02-22,0.0,8.3,-2.2
2026-02-23,5.0,11.0,-2.2
2026-02-24,0.5,-0.3,-4.1
2026-02-25,0.0,2.9,-12.2
2026-02-26,0.0,2.7,-10.6
2026-02-27,0.0,3.4,-2.6
2026-02-28,14.5,4.4,0.4
2026-03-01,0.5,0.7,-3.1
2026-03-02,0.0,0.6,-3.4
2026-03-03,0.0,1.5,-2.8
2026-03-04,0.0,2.7,-1.1
2026-03-05,0.5,3.7,-0.8
2026-03-06,0.5,5.1,-0.1
2026-03-07,4.5,4.8,0.0
2026-03-08,1.5,0.8,-2.6
2026-03-09,0.0,2.5,-3.6
2026-03-10,0.0,1.3,-7.1
2026-03-11,0.0,2.6,-11.1
2026-03-12,0.0,0.9,-5.2
2026-03-13,0.0,3.2,-1.1
2026-03-14,0.0,3.9,-1.3
2026-03-15,0.0,4.5,-0.2
2026-03-16,0.5,5.1,-0.1
2026-03-17,1.0,4.0,-3.7
2026-03-18,0.0,7.4,-4.5
2026-03-19,1.5,4.6,-1.1
2026-03-20,0.0,5.5,-0.9
2026-03-21,2.0,2.0,-2.3
2026-03-22,0.0,8.2,-6.3
2026-03-23,0.0,5.1,-1.5
2026-03-24,0.0,6.3,-1.9
2026-03-25,0.0,8.7,-6.3
2026-03-26,0.0,12.0,-4.2
2026-03-27,0.0,7.8,-1.6
2026-03-28,0.5,8.2,1.5
2026-03-29,0.0,8.6,-0.3
2026-03-30,0.0,12.3,-3.7
2026-03-31,0.0,11.5,3.4
2026-04-01,0.0,11.9,0.2
2026-04-02,0.0,9.4,0.6
2026-04-03,0.0,12.6,0.6
2026-04-04,0.5,16.8,-0.3
2026-04-05,0.5,11.7,3.2
2026-04-06,0.0,13.1,3.1
2026-04-07,19.0,8.3,1.5
2026-04-08,0.5,11.1,0.8
2026-04-09,0.0,15.3,4.7
2026-04-10,6.0,14.8,6.7
2026-04-11,0.5,12.0,3.2
2026-04-12,0.5,8.5,2.1
2026-04-13,5.5,9.8,4.1
2026-04-14,0.0,12.6,-0.1
2026-04-15,0.0,14.5,-1.7
2026-04-16,0.0,16.8,0.7
2026-04-17,0.0,16.0,1.4
2026-04-18,0.5,17.2,5.6
2026-04-19,0.0,15.1,4.6
2026-04-20,0.0,15.8,3.9
2026-04-21,16.0,12.2,6.3
2026-04-22,0.5,12.9,1.7
2026-04-23,0.5,11.2,0.5
2026-04-24,0.0,10.6,-1.7
2026-04-25,0.0,13.4,-2.8
2026-04-26,0.0,19.5,0.7
2026-04-27,0.0,21.0,4.0
2026-04-28,0.0,10.8,4.0
2026-04-29,0.0,13.2,0.2
2026-04-30,0.0,18.0,1.2
2026-05-01,7.5,21.6,3.6
2026-05-02,10.5,13.5,4.3
2026-05-03,2.0,17.6,3.2
2026-05-04,29.5,9.0,0.5
2026-05-05,0.5,16.1,0.6
2026-05-06,0.0,22.6,11.1
2026-05-07,0.0,21.1,11.2
2026-05-08,11.5,14.1,8.8
2026-05-09,5.0,12.6,3.8
2026-05-10,0.0,21.0,4.5
2026-05-11,0.0,19.2,7.5
2026-05-12,0.0,22.5,6.0
2026-05-13,0.0,16.9,5.7
2026-05-14,0.0,18.6,2.8
2026-05-15,0.0,22.4,7.6
2026-05-16,0.0,23.2,8.9
2026-05-17,0.0,20.5,9.3
2026-05-18,0.0,18.0,9.7
2026-05-19,0.0,15.1,8.6
2026-05-20,0.0,17.0,10.2
2026-05-21,0.0,22.2,8.9
2026-05-22,0.0,22.8,6.5
2026-05-23,0.0,20.5,4.9
2026-05-24,3.5,20.1,6.8
2026-05-25,0.5,23.5,11.7
2026-05-26,0.0,24.9,12.1
2026-05-27,0.0,25.6,14.0
2026-05-28,7.5,27.0,14.9
2026-05-29,3.5,15.5,11.0
2026-05-30,2.5,15.6,10.0
2026-05-31,0.0,23.4,9.9
2026-06-01,0.0,29.6,8.1
2026-06-02,0.0,30.0,13.3
2026-06-03,0.0,29.3,13.0
2026-06-04,0.0,27.1,13.9
2026-06-05,0.0,25.2,9.9
2026-06-06,2.5,15.4,8.8
2026-06-07,0.5,16.4,8.8
2026-06-08,30.0,13.8,10.9
