date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,4.0,///,///
2026-01-02,15.0,///,///
2026-01-03,31.5,///,///
2026-01-04,0.0,///,///
2026-01-05,1.0,///,///
2026-01-06,5.5,///,///
2026-01-07,0.0,///,///
2026-01-08,16.0,///,///
2026-01-09,0.0,///,///
2026-01-10,0.0,///,///
2026-01-11,10.5,///,///
2026-01-12,3.0,///,///
2026-01-13,3.0,///,///
2026-01-14,0.0,///,///
2026-01-15,0.0,///,///
2026-01-16,3.5,///,///
2026-01-17,0.0,///,///
2026-01-18,0.0,///,///
2026-01-19,3.5,///,///
2026-01-20,5.5,///,///
2026-01-21,3.0,///,///
2026-01-22,19.5,///,///
2026-01-23,0.5,///,///
2026-01-24,1.0,///,///
2026-01-25,28.5,///,///
2026-01-26,0.0,///,///
2026-01-27,2.0,///,///
2026-01-28,11.5,///,///
2026-01-29,7.5,///,///
2026-01-30,16.5,///,///
2026-01-31,4.5,///,///
2026-02-01,0.0,///,///
2026-02-02,5.5,///,///
2026-02-03,2.5,///,///
2026-02-04,0.0,///,///
2026-02-05,0.0,///,///
2026-02-06,1.5,///,///
2026-02-07,4.0,///,///
2026-02-08,34.0,///,///
2026-02-09,2.5,///,///
2026-02-10,0.0,///,///
2026-02-11,9.0,///,///
2026-02-12,0.0,///,///
2026-02-13,0.0,///,///
2026-02-14,0.0,///,///
2026-02-15,0.0,///,///
2026-02-16,0.0,///,///
2026-02-17,0.0,///,///
2026-02-18,3.0,///,///
2026-02-19,0.0,///,///
2026-02-20,0.0,///,///
2026-02-21,0.0,///,///
2026-02-22,0.0,///,///
2026-02-23,0.0,///,///
2026-02-24,24.5,///,///
2026-02-25,23.0,///,///
2026-02-26,0.0,///,///
2026-02-27,2.5,///,///
2026-02-28,4.0,///,///
2026-03-01,0.0,///,///
2026-03-02,3.5,///,///
2026-03-03,37.0,///,///
2026-03-04,3.0,///,///
2026-03-05,0.0,///,///
2026-03-06,12.0,///,///
2026-03-07,10.5,///,///
2026-03-08,2.0,///,///
2026-03-09,4.0,///,///
2026-03-10,5.5,///,///
2026-03-11,0.0,///,///
2026-03-12,0.0,///,///
2026-03-13,14.5,///,///
2026-03-14,1.0,///,///
2026-03-15,0.0,///,///
2026-03-16,0.0,///,///
2026-03-17,0.0,///,///
2026-03-18,2.0,///,///
2026-03-19,23.0,///,///
2026-03-20,0.0,///,///
2026-03-21,0.0,///,///
2026-03-22,3.5,///,///
2026-03-23,2.0,///,///
2026-03-24,0.0,///,///
2026-03-25,11.5,///,///
2026-03-26,1.0,///,///
2026-03-27,0.0,///,///
2026-03-28,0.0,///,///
2026-03-29,0.0,///,///
2026-03-30,0.5,///,///
2026-03-31,19.0,///,///
2026-04-01,7.0,///,///
2026-04-02,2.5,///,///
2026-04-03,0.0,///,///
2026-04-04,20.0,///,///
2026-04-05,0.0,///,///
2026-04-06,0.0,///,///
2026-04-07,5.5,///,///
2026-04-08,0.0,///,///
2026-04-09,12.0,///,///
2026-04-10,6.0,///,///
2026-04-11,0.0,///,///
2026-04-12,0.0,///,///
2026-04-13,0.0,///,///
2026-04-14,0.0,///,///
2026-04-15,27.0,///,///
2026-04-16,0.0,///,///
2026-04-17,0.0,///,///
2026-04-18,0.0,///,///
2026-04-19,0.0,///,///
2026-04-20,0.0,///,///
2026-04-21,4.5,///,///
2026-04-22,0.0,///,///
2026-04-23,29.5,///,///
2026-04-24,0.0,///,///
2026-04-25,0.0,///,///
2026-04-26,12.5,///,///
2026-04-27,12.5,///,///
2026-04-28,0.0,///,///
2026-04-29,0.0,///,///
2026-04-30,2.5,///,///
2026-05-01,36.0,///,///
2026-05-02,0.0,///,///
2026-05-03,9.5,///,///
2026-05-04,6.0,///,///
2026-05-05,0.0,///,///
2026-05-06,0.0,///,///
2026-05-07,0.0,///,///
2026-05-08,0.0,///,///
2026-05-09,0.0,///,///
2026-05-10,0.0,///,///
2026-05-11,0.0,///,///
2026-05-12,0.0,///,///
2026-05-13,0.0,///,///
2026-05-14,0.0,///,///
2026-05-15,0.0,///,///
2026-05-16,0.0,///,///
2026-05-17,0.0,///,///
2026-05-18,0.0,///,///
2026-05-19,0.0,///,///
2026-05-20,1.5,///,///
2026-05-21,30.0,///,///
2026-05-22,6.0,///,///
2026-05-23,1.5,///,///
2026-05-24,0.0,///,///
2026-05-25,0.0,///,///
2026-05-26,0.0,///,///
2026-05-27,1.5,///,///
2026-05-28,8.5,///,///
2026-05-29,1.5,///,///
2026-05-30,0.0,///,///
2026-05-31,0.0,///,///
2026-06-01,0.0,///,///
2026-06-02,18.5,///,///
2026-06-03,16.5,///,///
2026-06-04,0.0,///,///
2026-06-05,1.0,///,///
2026-06-06,0.5,///,///
2026-06-07,8.5,///,///
2026-06-08,17.5,///,///
