date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,0.0,11.2,4.5
2026-01-02,5.5,5.8,1.3
2026-01-03,0.0,8.3,3.8
2026-01-04,0.0,12.6,4.0
2026-01-05,0.0,13.5,3.3
2026-01-06,0.0,12.8,0.8
2026-01-07,0.0,14.2,-0.1
2026-01-08,0.0,10.1,4.8
2026-01-09,0.0,11.9,0.7
2026-01-10,0.0,17.5,-0.4
2026-01-11,0.0,12.8,2.2
2026-01-12,0.0,9.5,1.8
2026-01-13,0.0,15.8,2.9
2026-01-14,0.0,12.4,1.9
2026-01-15,0.0,18.5,1.2
2026-01-16,0.0,19.2,5.1
2026-01-17,0.0,19.1,3.7
2026-01-18,0.0,18.6,2.6
2026-01-19,0.0,19.6,5.7
2026-01-20,0.0,13.1,2.7
2026-01-21,0.0,9.3,0.3
2026-01-22,1.5,5.1,1.2
2026-01-23,0.0,8.3,2.5
2026-01-24,0.0,11.5,5.8
2026-01-25,0.0,8.1,2.5
2026-01-26,0.0,11.7,-1.8
2026-01-27,0.0,12.5,4.5
2026-01-28,0.0,11.1,4.8
2026-01-29,0.0,8.8,4.6
2026-01-30,0.0,9.9,4.7
2026-01-31,0.0,10.4,2.8
2026-02-01,0.0,10.4,3.6
2026-02-02,0.0,12.1,4.5
2026-02-03,0.0,11.2,0.6
2026-02-04,0.0,15.4,-1.0
2026-02-05,0.0,16.9,0.9
2026-02-06,0.0,14.8,4.2
2026-02-07,1.0,12.6,5.3
2026-02-08,3.5,5.4,-0.7
2026-02-09,0.0,9.0,-0.6
2026-02-10,1.5,12.3,-1.6
2026-02-11,7.0,13.1,8.9
2026-02-12,0.0,14.5,2.4
2026-02-13,0.0,16.6,0.6
2026-02-14,5.5,17.9,1.3
2026-02-15,10.5,18.8,8.1
2026-02-16,0.0,16.7,5.7
2026-02-17,0.0,14.1,4.1
2026-02-18,0.0,13.5,3.4
2026-02-19,0.0,14.7,0.7
2026-02-20,0.0,17.1,3.8
2026-02-21,0.0,17.7,1.3
2026-02-22,0.5,19.8,8.2
2026-02-23,0.0,18.9,4.6
2026-02-24,3.0,19.9,3.2
2026-02-25,61.5,17.2,11.2
2026-02-26,0.0,19.4,11.6
2026-02-27,14.5,16.5,13.2
2026-02-28,0.0,18.5,6.7
2026-03-01,0.0,18.9,4.6
2026-03-02,7.0,15.3,8.7
2026-03-03,1.5,17.2,11.4
2026-03-04,0.0,14.9,7.2
2026-03-05,0.0,15.2,3.3
2026-03-06,11.0,18.5,6.2
2026-03-07,0.0,12.7,7.0
2026-03-08,0.0,13.1,3.6
2026-03-09,0.0,14.9,1.4
2026-03-10,0.0,13.3,1.5
2026-03-11,0.0,15.8,-0.7
2026-03-12,0.0,16.8,2.5
