date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,0.0,8.9,4.2
2026-01-02,2.5,5.0,1.2
2026-01-03,0.5,8.9,4.4
2026-01-04,--,12.6,7.3
2026-01-05,5.5,10.5,7.4
2026-01-06,--,12.3,2.3
2026-01-07,1.0,12.7,3.3
2026-01-08,0.0,7.8,2.0
2026-01-09,--,10.6,0.6
2026-01-10,0.0,16.8,8.2
2026-01-11,9.0,8.3,1.0
2026-01-12,0.0,11.6,3.0
2026-01-13,2.0,13.2,8.0
2026-01-14,--,12.7,2.8
2026-01-15,--,19.5,12.1
2026-01-16,--,17.7,5.5
2026-01-17,--,17.5,5.4
2026-01-18,--,17.4,4.9
2026-01-19,--,16.8,6.7
2026-01-20,--,10.5,6.0
2026-01-21,0.0,6.8,1.9
2026-01-22,0.0,4.1,1.4
2026-01-23,0.0,9.1,3.7
2026-01-24,0.5,9.9,5.8
2026-01-25,0.0,8.6,0.5
2026-01-26,0.0,10.3,-1.3
2026-01-27,1.0,8.6,4.7
2026-01-28,--,9.2,3.4
2026-01-29,0.0,9.6,0.2
2026-01-30,--,8.1,2.9
2026-01-31,--,11.4,4.9
2026-02-01,0.5,10.3,5.6
2026-02-02,2.0,11.6,0.8
2026-02-03,--,10.0,1.6
2026-02-04,--,14.5,1.5
2026-02-05,0.0,15.9,3.8
2026-02-06,--,12.6,9.1
2026-02-07,0.5,10.1,1.4
2026-02-08,0.0,2.8,-1.5
2026-02-09,--,8.9,0.5
2026-02-10,11.0,12.7,1.3
2026-02-11,3.0,11.6,8.4
2026-02-12,--,12.6,2.5
2026-02-13,--,15.3,2.1
2026-02-14,19.0,15.0,3.7
2026-02-15,0.0,16.2,8.6
2026-02-16,--,14.0,9.0
2026-02-17,0.0,14.1,6.5
2026-02-18,--,12.9,7.6
2026-02-19,--,12.3,3.4
2026-02-20,0.0,15.8,5.8
2026-02-21,--,17.6,3.1
2026-02-22,3.5,21.2,11.9
2026-02-23,--,15.3,6.8
2026-02-24,95.5,17.7,4.7
2026-02-25,1.0,17.7,12.3
2026-02-26,--,17.2,11.1
2026-02-27,38.5,14.0,12.3
2026-02-28,--,15.7,10.6
2026-03-01,--,16.6,8.4
2026-03-02,20.5,14.0,12.2
2026-03-03,0.5,14.9,11.3
2026-03-04,--,15.8,8.9
2026-03-05,--,15.3,8.4
2026-03-06,24.5,16.7,8.2
2026-03-07,--,9.7,4.2
2026-03-08,--,12.5,1.0
2026-03-09,--,13.1,3.5
2026-03-10,--,13.8,4.4
2026-03-11,--,14.7,3.6
2026-03-12,1.5,15.7,4.7
2026-03-13,0.5,12.8,6.9
2026-03-14,--,14.2,7.6
2026-03-15,--,16.4,4.7
2026-03-16,--,15.7,8.1
2026-03-17,--,17.2,6.0
2026-03-18,21.0,19.3,8.1
2026-03-19,0.5,14.9,8.4
2026-03-20,--,17.1,5.0
2026-03-21,--,17.4,5.5
2026-03-22,27.5,16.3,8.4
2026-03-23,--,19.5,11.0
2026-03-24,2.0,18.3,8.6
2026-03-25,19.0,14.8,11.7
2026-03-26,--,18.1,11.0
2026-03-27,--,21.0,8.4
2026-03-28,--,21.3,9.0
2026-03-29,--,20.5,8.4
2026-03-30,14.5,20.4,10.8
2026-03-31,0.0,19.5,13.8
2026-04-01,5.5,15.8,11.8
2026-04-02,--,18.6,10.4
2026-04-03,0.5,19.9,10.2
2026-04-04,53.0,18.7,14.3
2026-04-05,--,19.2,10.4
2026-04-06,--,21.4,12.1
2026-04-07,0.0,19.5,7.5
2026-04-08,--,17.7,5.1
2026-04-09,55.5,21.9,15.2
2026-04-10,10.0,22.0,14.1
2026-04-11,--,21.8,12.7
2026-04-12,2.5,20.0,14.1
2026-04-13,6.5,19.1,14.2
2026-04-14,17.0,17.4,16.1
2026-04-15,0.5,17.6,14.6
2026-04-16,--,21.3,13.2
2026-04-17,3.5,20.3,13.5
2026-04-18,50.5,19.6,16.9
2026-04-19,9.0,20.2,16.1
2026-04-20,4.5,20.1,15.8
2026-04-21,--,21.9,12.9
2026-04-22,27.5,19.1,12.9
2026-04-23,23.5,17.6,15.5
2026-04-24,--,20.1,13.4
2026-04-25,--,20.9,12.5
2026-04-26,8.5,21.0,13.5
2026-04-27,--,23.1,13.5
2026-04-28,0.0,21.6,11.3
2026-04-29,5.0,19.5,12.4
2026-04-30,18.0,15.9,12.2
2026-05-01,0.0,20.9,13.6
2026-05-02,0.0,23.4,12.4
2026-05-03,63.5,22.0,15.3
2026-05-04,0.0,19.2,13.2
2026-05-05,--,20.8,9.6
2026-05-06,--,21.4,11.2
2026-05-07,--,23.8,14.1
2026-05-08,0.0,20.5,16.6
2026-05-09,--,22.7,10.8
2026-05-10,--,22.9,9.5
2026-05-11,--,23.8,12.4
2026-05-12,15.5,23.3,14.8
2026-05-13,--,22.4,13.8
2026-05-14,--,25.8,12.2
2026-05-15,--,26.3,14.4
2026-05-16,--,26.3,14.1
