date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,10.5,6.7,0.7
2026-01-02,34.5,4.5,-0.5
2026-01-03,6.5,7.2,1.3
2026-01-04,0.0,6.4,1.1
2026-01-05,5.0,10.1,2.5
2026-01-06,0.5,9.3,0.9
2026-01-07,0.5,12.3,0.4
2026-01-08,1.0,8.8,3.0
2026-01-09,0.0,10.6,2.0
2026-01-10,2.0,14.1,4.1
2026-01-11,5.0,6.6,-1.1
2026-01-12,0.5,5.6,0.2
2026-01-13,8.0,11.1,4.6
2026-01-14,0.0,9.3,1.3
2026-01-15,2.0,15.1,1.1
2026-01-16,--,14.3,3.7
2026-01-17,0.0,14.5,2.2
2026-01-18,--,12.5,4.9
2026-01-19,14.0,14.5,2.5
2026-01-20,2.0,9.2,1.4
2026-01-21,12.0,3.2,0.2
2026-01-22,13.5,2.4,-0.9
2026-01-23,1.0,4.5,-0.2
2026-01-24,2.5,5.8,1.1
2026-01-25,6.5,4.7,0.6
2026-01-26,0.0,6.3,1.5
2026-01-27,0.0,7.1,2.3
2026-01-28,4.0,6.4,1.8
2026-01-29,6.0,6.4,1.1
2026-01-30,11.5,4.9,0.5
2026-01-31,3.5,6.5,0.5
2026-02-01,0.0,7.2,2.9
2026-02-02,16.0,5.5,0.6
2026-02-03,0.5,7.7,0.3
2026-02-04,--,12.7,0.5
2026-02-05,0.0,14.2,2.2
2026-02-06,8.5,8.9,4.3
2026-02-07,44.0,4.6,0.5
2026-02-08,41.0,1.2,-1.8
2026-02-09,0.0,4.5,-1.3
2026-02-10,2.5,5.7,-2.5
2026-02-11,8.0,8.6,2.0
2026-02-12,0.5,10.1,1.6
2026-02-13,--,13.0,-1.2
2026-02-14,--,17.0,0.8
2026-02-15,0.0,17.6,6.7
2026-02-16,0.0,11.0,4.9
2026-02-17,--,8.2,0.7
2026-02-18,--,11.6,-0.8
2026-02-19,--,8.7,-1.0
2026-02-20,0.0,14.6,0.5
2026-02-21,--,17.5,0.9
2026-02-22,--,23.0,5.0
2026-02-23,--,16.6,4.9
2026-02-24,15.0,13.2,2.2
2026-02-25,17.0,10.5,8.0
2026-02-26,0.0,11.0,9.5
2026-02-27,5.5,11.9,10.1
2026-02-28,3.5,10.9,7.8
2026-03-01,--,11.5,7.5
