date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,--,13.8,8.6
2026-01-02,0.0,9.4,6.6
2026-01-03,--,11.7,7.0
2026-01-04,--,14.9,10.0
2026-01-05,3.5,16.1,12.1
2026-01-06,--,14.6,5.6
2026-01-07,0.0,14.4,5.3
2026-01-08,0.0,13.4,8.6
2026-01-09,--,12.5,4.0
2026-01-10,--,18.6,7.2
2026-01-11,2.0,15.9,6.8
2026-01-12,0.0,10.8,7.1
2026-01-13,7.5,17.4,7.2
2026-01-14,--,13.6,5.7
2026-01-15,--,18.9,4.7
2026-01-16,2.5,18.8,11.7
2026-01-17,--,18.2,9.1
2026-01-18,0.5,19.2,8.7
2026-01-19,0.0,21.8,14.6
2026-01-20,--,16.7,12.6
2026-01-21,--,12.6,6.4
2026-01-22,--,7.8,5.7
2026-01-23,--,10.4,6.6
2026-01-24,4.5,13.3,9.7
2026-01-25,--,11.6,8.2
2026-01-26,--,12.8,5.9
2026-01-27,1.0,13.2,9.9
2026-01-28,--,12.6,9.5
2026-01-29,--,11.6,8.2
2026-01-30,--,12.1,8.9
2026-01-31,3.5,12.1,6.4
2026-02-01,--,12.0,9.9
2026-02-02,0.5,12.8,9.4
2026-02-03,--,10.8,7.1
2026-02-04,--,14.3,7.8
2026-02-05,7.5,17.2,7.2
2026-02-06,2.0,15.9,12.8
2026-02-07,0.0,13.6,8.6
2026-02-08,0.0,9.3,2.6
2026-02-09,--,9.9,3.5
2026-02-10,0.0,17.0,4.5
2026-02-11,22.0,16.8,11.0
2026-02-12,--,14.3,10.7
2026-02-13,--,15.2,11.8
2026-02-14,6.0,19.9,7.7
2026-02-15,10.5,19.4,15.9
2026-02-16,0.0,17.1,14.1
2026-02-17,--,16.5,12.6
2026-02-18,--,14.4,11.3
2026-02-19,--,14.3,11.6
2026-02-20,--,16.0,8.3
2026-02-21,--,18.5,8.7
2026-02-22,0.0,23.0,12.2
2026-02-23,6.0,19.3,10.8
2026-02-24,0.0,22.7,10.1
2026-02-25,16.0,20.7,17.0
2026-02-26,4.5,21.5,16.4
2026-02-27,15.5,18.9,15.8
2026-02-28,--,19.6,15.3
2026-03-01,0.0,19.6,14.5
2026-03-02,12.5,20.2,16.8
2026-03-03,0.0,20.5,13.4
2026-03-04,--,18.9,10.9
2026-03-05,--,17.8,10.2
2026-03-06,0.5,22.6,8.7
2026-03-07,--,13.7,10.1
2026-03-08,--,15.5,5.9
2026-03-09,--,15.5,8.6
2026-03-10,--,14.7,6.2
2026-03-11,--,17.8,5.6
2026-03-12,0.0,16.1,9.5
2026-03-13,0.0,15.5,9.5
2026-03-14,--,14.7,7.1
2026-03-15,--,18.6,6.3
2026-03-16,0.0,19.3,10.0
2026-03-17,--,19.1,12.1
2026-03-18,--,23.4,10.7
2026-03-19,8.0,21.5,15.5
2026-03-20,--,18.1,10.9
2026-03-21,0.5,17.6,11.0
2026-03-22,19.0,17.8,13.6
2026-03-23,0.5,20.5,16.3
2026-03-24,1.5,18.9,15.7
2026-03-25,33.5,19.9,15.1
2026-03-26,--,20.9,14.2
2026-03-27,--,22.0,13.0
2026-03-28,--,21.8,11.5
2026-03-29,--,21.4,13.4
2026-03-30,20.0,22.0,13.7
2026-03-31,2.0,22.4,17.8
2026-04-01,23.0,18.3,14.7
2026-04-02,--,19.4,15.2
2026-04-03,--,23.1,10.4
2026-04-04,60.0,21.4,18.0
2026-04-05,--,20.5,17.0
2026-04-06,7.5,23.4,12.4
2026-04-07,36.0,20.8,15.1
2026-04-08,--,20.2,11.9
2026-04-09,--,22.5,12.1
2026-04-10,21.0,26.7,18.5
2026-04-11,--,20.2,16.3
2026-04-12,6.5,20.9,15.2
2026-04-13,28.5,19.3,15.0
2026-04-14,10.0,20.6,18.6
2026-04-15,--,22.3,18.4
2026-04-16,--,23.4,18.0
2026-04-17,0.0,24.2,18.6
2026-04-18,1.0,23.6,19.2
2026-04-19,18.0,20.1,17.5
2026-04-20,1.0,22.7,17.7
2026-04-21,--,23.9,16.7
2026-04-22,16.0,23.7,16.0
2026-04-23,41.0,25.3,18.0
2026-04-24,0.0,19.8,17.9
2026-04-25,0.5,19.8,16.7
2026-04-26,2.5,22.7,16.1
2026-04-27,--,23.2,16.3
2026-04-28,--,24.2,19.4
2026-04-29,--,24.0,19.0
2026-04-30,57.0,21.0,16.6
2026-05-01,0.0,20.6,18.2
2026-05-02,--,22.9,16.6
2026-05-03,28.0,26.6,15.4
2026-05-04,--,20.2,17.5
2026-05-05,--,22.4,12.1
2026-05-06,3.0,20.4,18.1
2026-05-07,1.5,26.2,18.5
2026-05-08,0.0,23.7,18.8
2026-05-09,--,22.0,12.6
2026-05-10,--,24.5,12.6
2026-05-11,--,22.7,15.4
2026-05-12,4.0,25.5,15.7
2026-05-13,--,24.7,16.3
2026-05-14,--,26.3,15.4
2026-05-15,--,26.5,18.2
2026-05-16,--,26.0,17.9
2026-05-17,--,28.0,17.6
2026-05-18,--,27.1,17.0
2026-05-19,3.0,23.6,20.9
2026-05-20,5.5,28.9,22.5
2026-05-21,5.5,27.7,22.7
2026-05-22,--,25.4,18.8
2026-05-23,--,23.6,18.6
2026-05-24,0.5,26.6,22.1
2026-05-25,0.0,25.7,22.1
2026-05-26,42.5,24.0,21.8
2026-05-27,56.5,26.2,24.0
2026-05-28,0.0,26.4,23.4
2026-05-29,--,26.4,22.6
2026-05-30,--,28.1,20.0
2026-05-31,0.0,27.6,21.7
2026-06-01,17.5,24.8,22.8
2026-06-02,136.5,26.5,23.2
2026-06-03,--,26.1,23.3
2026-06-04,10.0,26.4,22.8
2026-06-05,0.0,25.3,22.6
2026-06-06,25.5,25.3,22.1
2026-06-07,82.5,27.0,22.3
2026-06-08,19.0,27.1,22.8
