date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,21.0,-2.1,-4.6
2026-01-02,6.5,-1.3,-8.4
2026-01-03,29.0,0.8,-3.7
2026-01-04,17.0,2.0,-1.1
2026-01-05,10.5,1.3,-4.1
2026-01-06,17.5,-0.6,-4.8
2026-01-07,5.0,2.7,-6.5
2026-01-08,36.5,1.3,-5.5
2026-01-09,7.5,0.2,-6.1
2026-01-10,22.0,7.4,-7.7
2026-01-11,50.0,1.9,-4.7
2026-01-12,17.5,-1.3,-5.6
2026-01-13,37.5,4.1,-2.8
2026-01-14,26.0,-0.8,-4.7
2026-01-15,35.5,4.7,-2.8
2026-01-16,24.0,6.5,0.2
2026-01-17,10.0,7.1,-3.7
2026-01-18,2.0,0.7,-6.4
2026-01-19,14.5,3.5,-6.4
2026-01-20,22.5,0.5,-6.2
2026-01-21,23.0,-3.8,-6.3
2026-01-22,23.5,-3.6,-7.1
2026-01-23,6.5,-2.4,-6.1
2026-01-24,10.0,-1.5,-7.9
2026-01-25,24.0,-4.1,-7.5
2026-01-26,5.0,-1.2,-7.6
2026-01-27,12.5,2.5,-7.2
2026-01-28,8.0,-1.2,-5.0
2026-01-29,16.5,-2.6,-5.5
2026-01-30,27.5,-2.9,-5.6
2026-01-31,26.0,-0.8,-5.4
2026-02-01,18.0,-2.3,-3.7
2026-02-02,18.5,-0.7,-3.9
2026-02-03,7.5,1.0,-4.0
2026-02-04,2.0,5.0,-1.7
2026-02-05,10.0,6.2,0.1
2026-02-06,12.5,5.9,-5.1
2026-02-07,1.5,-4.1,-8.4
2026-02-08,18.0,-4.9,-7.9
2026-02-09,8.0,-0.2,-6.2
2026-02-10,0.0,5.0,-1.6
2026-02-11,8.5,5.6,-0.1
2026-02-12,11.5,2.2,-1.8
2026-02-13,0.5,5.2,-3.1
2026-02-14,0.5,8.9,-1.4
2026-02-15,0.0,11.8,-3.8
2026-02-16,0.5,6.1,-2.3
2026-02-17,0.5,1.9,-6.2
2026-02-18,15.5,5.8,-6.3
2026-02-19,10.5,-1.2,-4.2
2026-02-20,0.0,5.6,-8.8
2026-02-21,0.0,10.0,-10.4
2026-02-22,0.0,13.5,-7.4
2026-02-23,0.0,12.9,-2.6
2026-02-24,0.0,9.3,-4.6
2026-02-25,8.0,3.2,0.6
2026-02-26,0.0,4.8,0.5
2026-02-27,0.0,8.6,0.4
2026-02-28,0.5,8.7,-0.7
2026-03-01,0.0,4.6,-2.8
2026-03-02,0.0,7.3,-5.1
2026-03-03,17.5,3.6,-2.8
2026-03-04,19.5,3.5,-0.8
2026-03-05,16.0,3.9,0.0
2026-03-06,0.0,7.4,-3.3
2026-03-07,17.5,3.9,-1.4
2026-03-08,14.5,1.7,-2.1
2026-03-09,0.5,3.0,-2.4
2026-03-10,0.5,2.4,-3.0
2026-03-11,0.0,2.5,-4.4
2026-03-12,1.0,3.5,-6.5
2026-03-13,0.0,5.1,-3.0
2026-03-14,0.0,6.8,-1.7
2026-03-15,0.0,6.0,-1.1
2026-03-16,0.0,5.7,-3.9
2026-03-17,0.0,6.4,-4.8
2026-03-18,0.0,10.9,-8.2
2026-03-19,8.0,7.2,0.9
2026-03-20,6.0,8.8,-4.6
2026-03-21,2.5,3.3,-2.9
2026-03-22,0.0,11.1,-6.7
2026-03-23,0.5,12.1,-3.0
2026-03-24,0.0,8.8,-2.6
2026-03-25,0.0,13.3,-5.4
2026-03-26,14.5,6.2,1.3
2026-03-27,0.5,12.0,-1.7
2026-03-28,0.0,14.1,-1.9
2026-03-29,0.0,14.2,-2.2
2026-03-30,0.0,16.5,-1.0
2026-03-31,13.5,5.6,1.1
2026-04-01,2.5,12.5,1.9
2026-04-02,27.5,6.4,1.5
2026-04-03,0.5,11.7,-0.7
2026-04-04,11.5,12.2,-1.3
2026-04-05,4.0,13.1,2.2
2026-04-06,0.0,18.7,1.6
2026-04-07,3.5,12.4,0.8
2026-04-08,2.5,8.8,-2.8
2026-04-09,0.0,16.5,-4.0
2026-04-10,22.5,17.2,2.1
2026-04-11,15.5,14.8,4.5
2026-04-12,0.0,10.3,-0.9
2026-04-13,0.0,18.8,-2.5
2026-04-14,0.0,19.8,-2.2
2026-04-15,2.0,20.4,2.4
2026-04-16,0.0,17.4,1.7
2026-04-17,0.0,21.0,-0.5
2026-04-18,0.5,18.9,3.9
2026-04-19,0.0,21.4,2.1
2026-04-20,0.0,22.0,1.7
2026-04-21,18.5,12.4,4.8
2026-04-22,0.0,19.3,4.1
2026-04-23,0.0,18.3,1.9
2026-04-24,0.0,16.8,-0.6
2026-04-25,0.0,18.5,-2.7
2026-04-26,0.0,22.3,-0.8
2026-04-27,10.5,11.3,4.9
2026-04-28,4.0,20.0,5.2
2026-04-29,4.5,11.1,1.1
2026-04-30,0.0,16.3,-1.0
2026-05-01,9.0,13.3,4.0
2026-05-02,20.5,15.9,2.7
2026-05-03,1.5,23.6,2.2
2026-05-04,43.5,16.6,5.9
2026-05-05,1.0,16.3,2.2
2026-05-06,0.0,23.8,0.6
2026-05-07,0.0,24.7,3.9
2026-05-08,2.5,21.1,8.0
2026-05-09,22.5,12.9,7.1
2026-05-10,0.0,19.0,3.6
2026-05-11,0.0,24.4,1.8
2026-05-12,0.0,23.7,6.9
2026-05-13,0.0,22.6,6.5
2026-05-14,0.0,21.6,4.3
2026-05-15,0.0,23.4,6.7
2026-05-16,0.0,26.8,4.6
2026-05-17,0.0,26.3,6.0
2026-05-18,0.0,30.1,4.7
2026-05-19,0.0,30.4,7.1
2026-05-20,0.0,27.1,8.1
2026-05-21,90.0,14.5,11.3
2026-05-22,40.5,12.0,4.9
2026-05-23,0.0,16.6,2.6
2026-05-24,5.5,14.2,8.4
2026-05-25,0.5,24.2,9.9
2026-05-26,0.0,24.8,8.7
2026-05-27,0.0,27.4,13.1
2026-05-28,4.0,26.8,14.4
2026-05-29,2.0,18.8,11.9
2026-05-30,0.0,22.9,10.6
2026-05-31,0.0,27.7,8.6
2026-06-01,0.0,30.3,7.1
2026-06-02,0.0,27.7,11.6
2026-06-03,26.5,16.4,13.3
2026-06-04,0.5,20.1,12.4
2026-06-05,0.0,20.0,11.8
2026-06-06,1.0,21.8,9.1
2026-06-07,0.5,23.5,7.8
2026-06-08,5.5,17.9,14.5
