date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,0.0,5.0,-4.4
2026-01-02,0.0,0.6,-7.8
2026-01-03,0.0,5.1,-7.0
2026-01-04,0.0,7.6,-3.0
2026-01-05,1.0,7.5,-2.0
2026-01-06,0.0,8.9,-6.2
2026-01-07,0.0,8.4,-5.8
2026-01-08,0.0,5.3,-6.1
2026-01-09,0.0,6.5,-9.9
2026-01-10,1.5,11.4,-5.4
2026-01-11,0.0,5.2,-3.9
2026-01-12,0.5,5.6,-8.2
2026-01-13,7.5,9.6,1.5
2026-01-14,0.0,9.2,-3.3
2026-01-15,1.5,13.9,-5.7
2026-01-16,0.0,17.4,-0.9
2026-01-17,0.0,16.5,-3.5
2026-01-18,0.0,16.6,-3.4
2026-01-19,0.0,15.2,-1.9
2026-01-20,0.0,7.0,-2.7
2026-01-21,0.0,4.3,-4.4
2026-01-22,0.0,2.0,-5.3
2026-01-23,0.0,3.1,-5.8
2026-01-24,2.0,4.1,-1.2
2026-01-25,0.5,4.7,-6.7
2026-01-26,0.0,6.2,-9.1
2026-01-27,0.0,6.7,-4.6
2026-01-28,0.0,7.2,-7.4
2026-01-29,0.0,6.0,-8.2
2026-01-30,0.0,6.3,-4.0
2026-01-31,0.0,6.8,-5.4
2026-02-01,0.0,6.3,-4.6
2026-02-02,0.0,7.2,-5.5
2026-02-03,0.0,7.8,-6.1
2026-02-04,0.0,10.7,-5.7
2026-02-05,0.0,13.3,-3.1
2026-02-06,0.0,12.9,1.5
2026-02-07,0.5,5.0,-1.6
2026-02-08,1.0,-1.6,-9.1
2026-02-09,0.0,6.5,-11.8
2026-02-10,10.5,9.1,-6.0
2026-02-11,14.0,8.9,-1.4
2026-02-12,0.0,9.7,-1.6
2026-02-13,0.0,12.0,-4.4
2026-02-14,19.0,11.5,-3.9
2026-02-15,2.5,15.9,5.3
2026-02-16,0.0,12.8,2.8
2026-02-17,0.0,11.8,-0.8
2026-02-18,0.0,10.2,-1.5
2026-02-19,0.0,10.4,-3.3
2026-02-20,0.0,12.4,-0.5
2026-02-21,0.0,14.9,-4.2
2026-02-22,0.0,21.1,-2.1
2026-02-23,0.0,17.8,1.6
2026-02-24,6.0,20.1,-0.9
2026-02-25,14.5,13.6,9.0
2026-02-26,0.0,18.5,8.7
2026-02-27,21.5,12.8,9.9
2026-02-28,0.5,15.8,4.8
2026-03-01,0.0,18.9,1.7
2026-03-02,8.0,9.5,6.0
2026-03-03,3.0,13.4,6.2
2026-03-04,0.0,13.0,1.0
2026-03-05,0.0,17.2,-0.2
2026-03-06,11.0,15.2,2.0
2026-03-07,0.0,7.9,-2.0
2026-03-08,0.0,11.2,-4.5
2026-03-09,0.0,9.6,-4.0
2026-03-10,0.0,9.6,-2.0
2026-03-11,0.0,12.5,-4.5
2026-03-12,0.0,12.7,-2.8
2026-03-13,0.0,8.7,-0.1
2026-03-14,0.0,15.2,0.7
2026-03-15,0.0,16.4,-4.0
2026-03-16,0.0,16.8,-1.1
2026-03-17,0.0,17.2,-2.0
2026-03-18,46.0,14.5,0.3
2026-03-19,7.5,13.3,3.1
2026-03-20,0.0,16.0,-0.8
2026-03-21,0.0,16.8,1.4
2026-03-22,23.0,17.1,0.8
2026-03-23,2.0,17.9,5.2
2026-03-24,0.0,19.3,2.4
2026-03-25,34.5,12.1,8.4
2026-03-26,0.0,17.6,4.8
2026-03-27,0.0,19.0,0.9
2026-03-28,0.0,19.0,2.0
2026-03-29,0.0,21.1,3.4
2026-03-30,12.5,21.6,3.3
2026-03-31,20.5,17.8,10.0
2026-04-01,11.0,11.0,8.6
2026-04-02,0.0,15.6,5.1
2026-04-03,0.0,22.3,2.9
2026-04-04,13.5,17.1,12.1
2026-04-05,1.0,18.1,6.4
2026-04-06,0.0,19.9,3.8
2026-04-07,0.5,16.2,3.3
2026-04-08,0.0,18.3,-1.8
2026-04-09,5.0,17.9,3.0
2026-04-10,68.5,20.3,12.6
2026-04-11,0.0,22.7,11.0
2026-04-12,0.5,23.7,9.8
2026-04-13,2.5,16.4,11.9
2026-04-14,26.5,17.5,12.6
2026-04-15,15.5,17.7,13.0
2026-04-16,0.0,20.9,8.5
2026-04-17,0.0,19.1,6.9
2026-04-18,2.5,19.8,13.4
2026-04-19,11.5,17.2,13.4
2026-04-20,0.0,23.4,11.8
2026-04-21,0.0,20.8,7.1
2026-04-22,13.0,19.1,6.5
2026-04-23,65.0,13.3,10.9
2026-04-24,10.0,15.2,8.9
2026-04-25,1.5,19.6,9.6
2026-04-26,20.5,17.2,10.6
2026-04-27,0.0,21.6,9.1
2026-04-28,0.5,20.9,10.5
2026-04-29,1.5,19.9,11.8
2026-04-30,23.0,14.3,9.8
2026-05-01,3.5,15.8,10.6
2026-05-02,0.0,21.6,5.8
2026-05-03,72.5,20.4,10.9
2026-05-04,0.0,16.4,8.0
2026-05-05,0.0,21.7,4.6
2026-05-06,0.0,22.0,7.2
2026-05-07,0.0,23.7,9.1
2026-05-08,0.0,20.5,8.5
2026-05-09,0.0,22.0,6.6
2026-05-10,0.0,24.0,5.5
2026-05-11,0.0,24.6,7.4
2026-05-12,17.0,23.9,8.8
2026-05-13,0.0,23.2,11.6
2026-05-14,0.0,26.6,10.2
2026-05-15,0.0,26.1,10.1
2026-05-16,0.0,27.5,10.6
2026-05-17,0.0,30.6,10.4
2026-05-18,0.0,30.9,10.0
2026-05-19,0.0,28.8,10.1
2026-05-20,4.0,23.9,18.3
2026-05-21,58.0,21.9,17.8
2026-05-22,0.0,23.8,17.0
2026-05-23,0.0,27.2,14.1
2026-05-24,0.0,24.7,19.1
2026-05-25,0.0,27.8,16.9
2026-05-26,0.0,25.0,16.6
2026-05-27,42.5,21.1,19.0
2026-05-28,9.0,23.4,19.6
2026-05-29,0.0,26.4,16.7
2026-05-30,0.0,27.7,11.7
2026-05-31,0.0,29.1,17.2
2026-06-01,1.0,27.0,16.9
2026-06-02,23.0,21.9,18.1
2026-06-03,0.5,24.1,18.7
2026-06-04,90.0,21.8,17.7
2026-06-05,7.0,25.1,18.5
2026-06-06,4.0,27.5,17.1
2026-06-07,48.5,22.7,19.4
2026-06-08,41.0,21.2,15.8
