date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,--,12.0,5.4
2026-01-02,5.5,11.5,0.4
2026-01-03,--,9.9,-1.3
2026-01-04,--,12.7,-2.1
2026-01-05,--,14.1,0.3
2026-01-06,--,11.4,1.2
2026-01-07,--,11.3,0.6
2026-01-08,--,14.3,0.2
2026-01-09,0.0,10.9,1.4
2026-01-10,3.0,16.4,2.4
2026-01-11,29.5,16.3,4.6
2026-01-12,--,10.0,0.6
2026-01-13,--,15.6,7.8
2026-01-14,--,12.0,0.7
2026-01-15,--,14.3,-0.6
2026-01-16,--,17.7,5.0
2026-01-17,--,17.4,1.8
2026-01-18,--,15.3,1.2
2026-01-19,--,15.0,5.1
2026-01-20,--,15.7,3.5
2026-01-21,0.0,6.4,1.1
2026-01-22,0.0,7.5,1.7
2026-01-23,0.0,9.2,-2.8
2026-01-24,--,10.6,-1.3
2026-01-25,--,8.8,-1.4
2026-01-26,0.5,9.4,-1.7
2026-01-27,0.0,9.7,0.0
2026-01-28,--,10.9,-0.5
2026-01-29,0.0,10.1,0.6
2026-01-30,--,9.2,-3.2
2026-01-31,--,10.5,-0.2
2026-02-01,--,11.9,-1.0
2026-02-02,0.0,12.1,-0.9
2026-02-03,0.5,11.0,-0.6
2026-02-04,--,13.0,1.3
2026-02-05,--,13.0,0.5
2026-02-06,--,15.9,4.2
2026-02-07,2.0,8.9,1.3
2026-02-08,3.0,5.1,0.9
2026-02-09,--,9.5,-2.7
2026-02-10,--,12.6,-2.0
2026-02-11,45.0,14.2,4.0
2026-02-12,--,13.2,2.0
2026-02-13,0.0,13.9,1.4
2026-02-14,--,15.4,0.7
2026-02-15,--,18.2,13.7
2026-02-16,2.5,15.8,7.4
2026-02-17,1.0,9.5,4.0
2026-02-18,0.0,12.1,3.2
2026-02-19,--,11.4,3.2
2026-02-20,--,12.8,3.1
2026-02-21,--,14.4,1.2
2026-02-22,--,18.1,1.6
2026-02-23,1.5,19.2,13.5
2026-02-24,1.0,18.2,6.9
2026-02-25,89.5,17.0,7.8
2026-02-26,0.0,13.1,7.0
2026-02-27,--,17.3,7.6
2026-02-28,--,20.1,8.1
2026-03-01,--,18.2,4.7
2026-03-02,--,17.1,10.3
2026-03-03,49.0,12.9,6.8
2026-03-04,37.0,16.6,5.7
2026-03-05,--,15.0,4.4
2026-03-06,--,16.7,2.6
2026-03-07,5.5,18.7,9.4
2026-03-08,0.0,13.1,2.2
2026-03-09,--,13.7,2.2
2026-03-10,0.0,11.2,3.4
2026-03-11,--,12.2,-0.9
2026-03-12,--,14.0,2.6
2026-03-13,--,9.6,3.5
2026-03-14,--,14.6,3.8
2026-03-15,--,15.6,2.1
2026-03-16,--,14.2,7.3
2026-03-17,0.0,13.7,7.3
2026-03-18,0.0,17.8,4.9
2026-03-19,6.5,19.6,14.3
2026-03-20,--,15.3,8.1
2026-03-21,--,15.4,5.3
2026-03-22,--,16.4,4.4
2026-03-23,5.5,15.2,6.2
2026-03-24,--,17.1,5.7
2026-03-25,18.5,15.0,9.6
2026-03-26,28.0,14.4,11.6
2026-03-27,0.0,17.9,9.8
2026-03-28,0.0,19.0,8.4
2026-03-29,--,21.0,8.7
2026-03-30,0.0,20.8,12.5
2026-03-31,7.0,19.5,15.8
2026-04-01,15.0,21.1,13.2
2026-04-02,25.0,17.7,8.1
2026-04-03,--,19.4,5.0
2026-04-04,25.0,19.7,8.4
2026-04-05,23.0,21.4,17.0
2026-04-06,--,23.2,16.4
2026-04-07,4.0,18.1,10.1
2026-04-08,--,17.8,7.6
2026-04-09,--,20.4,6.8
2026-04-10,16.5,20.6,17.5
2026-04-11,--,25.0,14.3
2026-04-12,--,21.6,11.2
2026-04-13,--,22.0,13.7
2026-04-14,--,22.9,14.0
2026-04-15,27.0,22.1,13.3
2026-04-16,5.0,22.7,11.5
2026-04-17,--,18.8,8.9
2026-04-18,--,20.8,10.3
2026-04-19,--,23.6,10.7
2026-04-20,2.0,23.0,13.5
2026-04-21,0.5,22.6,14.7
2026-04-22,--,22.3,10.0
2026-04-23,28.0,19.6,13.6
2026-04-24,0.5,18.3,12.6
2026-04-25,--,20.2,12.1
2026-04-26,0.5,21.4,10.4
2026-04-27,35.0,22.4,12.8
2026-04-28,--,23.9,10.2
2026-04-29,--,23.0,16.3
2026-04-30,3.5,16.7,12.8
2026-05-01,90.5,21.4,13.0
2026-05-02,--,25.6,14.7
2026-05-03,0.0,24.5,14.2
2026-05-04,4.0,23.0,17.1
2026-05-05,--,22.0,12.8
2026-05-06,1.5,22.0,12.7
2026-05-07,3.5,23.1,17.3
2026-05-08,0.0,24.6,18.3
2026-05-09,--,24.1,13.1
2026-05-10,1.0,23.1,11.4
2026-05-11,0.0,23.8,14.3
2026-05-12,--,24.2,12.2
2026-05-13,0.0,25.1,12.8
2026-05-14,0.0,25.1,15.3
2026-05-15,--,22.6,13.2
2026-05-16,0.0,25.3,12.2
2026-05-17,0.0,27.9,13.2
2026-05-18,--,27.5,14.5
2026-05-19,--,26.4,17.1
2026-05-20,0.0,27.1,21.1
2026-05-21,4.5,25.1,16.0
2026-05-22,22.5,18.0,12.6
2026-05-23,0.0,19.2,12.0
2026-05-24,0.5,23.6,14.8
2026-05-25,0.0,25.6,15.8
2026-05-26,--,26.9,16.0
2026-05-27,0.0,26.2,19.2
2026-05-28,0.0,26.1,21.0
2026-05-29,--,32.3,21.1
2026-05-30,--,28.6,19.0
2026-05-31,--,26.8,19.2
2026-06-01,--,29.8,20.2
2026-06-02,3.5,25.9,18.4
2026-06-03,123.0,23.7,18.6
2026-06-04,0.0,23.5,17.9
2026-06-05,--,21.6,16.4
2026-06-06,--,22.1,15.8
2026-06-07,13.5,21.4,15.3
2026-06-08,11.5,24.3,19.4
