date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,0.0,///,///
2026-01-02,0.0,///,///
2026-01-03,0.0,///,///
2026-01-04,0.0,///,///
2026-01-05,0.0,///,///
2026-01-06,0.0,///,///
2026-01-07,0.0,///,///
2026-01-08,0.0,///,///
2026-01-09,0.0,///,///
2026-01-10,0.0,///,///
2026-01-11,0.0,///,///
2026-01-12,0.0,///,///
2026-01-13,0.0,///,///
2026-01-14,0.0,///,///
2026-01-15,0.0,///,///
2026-01-16,0.0,///,///
2026-01-17,0.0,///,///
2026-01-18,0.0,///,///
2026-01-19,0.0,///,///
2026-01-20,0.0,///,///
2026-01-21,0.0,///,///
2026-01-22,0.0,///,///
2026-01-23,0.0,///,///
2026-01-24,0.0,///,///
2026-01-25,0.0,///,///
2026-01-26,0.0,///,///
2026-01-27,0.0,///,///
2026-01-28,0.0,///,///
2026-01-29,0.0,///,///
2026-01-30,0.0,///,///
2026-01-31,0.0,///,///
2026-02-01,0.0,///,///
2026-02-02,0.0,///,///
2026-02-03,0.0,///,///
2026-02-04,0.0,///,///
2026-02-05,0.0,///,///
2026-02-06,0.0,///,///
2026-02-07,0.0,///,///
2026-02-08,1.5,///,///
2026-02-09,0.0,///,///
2026-02-10,0.0,///,///
2026-02-11,24.0,///,///
2026-02-12,0.0,///,///
2026-02-13,0.0,///,///
2026-02-14,0.0,///,///
2026-02-15,0.0,///,///
2026-02-16,0.0,///,///
2026-02-17,0.0,///,///
2026-02-18,0.0,///,///
2026-02-19,0.0,///,///
2026-02-20,0.0,///,///
2026-02-21,0.0,///,///
2026-02-22,0.0,///,///
2026-02-23,1.0,///,///
2026-02-24,0.0,///,///
2026-02-25,18.5,///,///
2026-02-26,0.5,///,///
2026-02-27,16.0,///,///
2026-02-28,0.0,///,///
2026-03-01,0.0,///,///
2026-03-02,11.5,///,///
2026-03-03,82.5,///,///
2026-03-04,0.0,///,///
2026-03-05,0.0,///,///
2026-03-06,4.5,///,///
2026-03-07,0.0,///,///
2026-03-08,0.0,///,///
2026-03-09,0.0,///,///
2026-03-10,0.0,///,///
2026-03-11,0.0,///,///
2026-03-12,0.0,///,///
2026-03-13,0.0,///,///
2026-03-14,0.0,///,///
2026-03-15,0.0,///,///
2026-03-16,0.0,///,///
2026-03-17,0.0,///,///
2026-03-18,7.5,///,///
2026-03-19,9.0,///,///
2026-03-20,0.0,///,///
2026-03-21,0.0,///,///
2026-03-22,1.5,///,///
2026-03-23,4.0,///,///
2026-03-24,0.0,///,///
2026-03-25,64.0,///,///
2026-03-26,5.5,///,///
2026-03-27,0.0,///,///
2026-03-28,0.0,///,///
2026-03-29,19.0,///,///
2026-03-30,3.5,///,///
2026-03-31,39.5,///,///
2026-04-01,26.5,///,///
2026-04-02,0.5,///,///
2026-04-03,0.0,///,///
2026-04-04,60.0,///,///
2026-04-05,0.0,///,///
2026-04-06,0.0,///,///
2026-04-07,5.5,///,///
2026-04-08,0.0,///,///
2026-04-09,4.0,///,///
2026-04-10,15.5,///,///
2026-04-11,0.0,///,///
2026-04-12,0.0,///,///
2026-04-13,0.0,///,///
2026-04-14,0.5,///,///
2026-04-15,24.0,///,///
2026-04-16,0.0,///,///
2026-04-17,0.5,///,///
2026-04-18,0.0,///,///
2026-04-19,0.0,///,///
2026-04-20,10.5,///,///
2026-04-21,1.0,///,///
2026-04-22,0.0,///,///
2026-04-23,33.0,///,///
2026-04-24,3.5,///,///
2026-04-25,7.5,///,///
2026-04-26,95.5,///,///
2026-04-27,23.5,///,///
2026-04-28,0.0,///,///
2026-04-29,0.0,///,///
2026-04-30,44.0,///,///
2026-05-01,23.0,///,///
2026-05-02,0.0,///,///
2026-05-03,18.5,///,///
2026-05-04,16.0,///,///
2026-05-05,0.0,///,///
2026-05-06,0.0,///,///
2026-05-07,0.0,///,///
2026-05-08,0.0,///,///
2026-05-09,0.0,///,///
2026-05-10,0.0,///,///
2026-05-11,0.0,///,///
2026-05-12,0.0,///,///
2026-05-13,0.5,///,///
2026-05-14,0.0,///,///
2026-05-15,4.0,///,///
2026-05-16,0.0,///,///
2026-05-17,0.0,///,///
2026-05-18,0.0,///,///
2026-05-19,0.0,///,///
2026-05-20,5.5,///,///
2026-05-21,20.0,///,///
2026-05-22,14.0,///,///
2026-05-23,54.0,///,///
2026-05-24,6.0,///,///
2026-05-25,0.0,///,///
2026-05-26,0.0,///,///
2026-05-27,15.0,///,///
2026-05-28,9.0,///,///
2026-05-29,0.0,///,///
2026-05-30,0.0,///,///
2026-05-31,0.0,///,///
2026-06-01,0.0,///,///
2026-06-02,236.5,///,///
2026-06-03,168.0,///,///
2026-06-04,11.5,///,///
2026-06-05,42.5,///,///
2026-06-06,0.0,///,///
2026-06-07,135.0,///,///
2026-06-08,2.5,///,///
