date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,0.0,-3.0,-8.8
2026-01-02,6.0,0.0,-3.4
2026-01-03,0.0,-0.5,-2.7
2026-01-04,0.5,-1.3,-7.6
2026-01-05,6.5,-5.7,-8.5
2026-01-06,0.0,-3.5,-8.1
2026-01-07,3.5,2.4,-4.6
2026-01-08,1.0,-1.0,-6.9
2026-01-09,0.0,-1.9,-7.5
2026-01-10,0.0,1.7,-3.2
2026-01-11,5.5,3.5,-5.0
2026-01-12,0.5,-3.5,-6.3
2026-01-13,2.0,-2.7,-6.3
2026-01-14,0.5,-5.3,-9.9
2026-01-15,0.0,-2.7,-8.9
2026-01-16,0.0,-1.9,-3.4
2026-01-17,0.5,-1.1,-5.2
2026-01-18,0.5,-1.6,-6.4
2026-01-19,0.5,-0.9,-5.3
2026-01-20,5.5,-2.5,-6.0
2026-01-21,2.5,-3.3,-5.5
2026-01-22,12.0,-2.2,-5.5
2026-01-23,2.5,-2.1,-5.5
2026-01-24,3.0,-2.5,-5.7
2026-01-25,1.0,-4.9,-6.6
2026-01-26,1.5,-4.0,-7.4
2026-01-27,0.0,-3.7,-8.6
2026-01-28,0.5,-3.8,-7.6
2026-01-29,0.0,-2.4,-7.7
2026-01-30,2.0,0.7,-3.9
2026-01-31,2.0,-1.4,-4.2
2026-02-01,3.0,-1.8,-5.2
2026-02-02,1.5,-3.1,-7.7
2026-02-03,0.0,2.1,-6.8
2026-02-04,0.0,1.7,-2.4
2026-02-05,0.0,-0.7,-6.1
2026-02-06,2.5,1.1,-6.7
2026-02-07,8.5,-2.1,-7.9
2026-02-08,2.5,-5.5,-9.2
2026-02-09,0.5,-3.2,-7.8
2026-02-10,0.0,0.6,-4.8
2026-02-11,1.5,0.2,-4.9
2026-02-12,1.0,-3.0,-6.1
2026-02-13,0.0,-0.5,-5.7
2026-02-14,0.0,-0.2,-5.9
2026-02-15,3.5,4.8,-3.4
2026-02-16,0.0,-3.0,-5.1
2026-02-17,0.0,2.9,-4.7
2026-02-18,20.5,2.6,-1.5
2026-02-19,5.0,-1.3,-4.3
2026-02-20,0.0,3.5,-9.5
2026-02-21,1.5,6.3,1.9
2026-02-22,0.0,9.6,5.8
2026-02-23,2.0,9.8,-2.8
2026-02-24,0.0,-1.5,-5.1
2026-02-25,0.0,0.2,-6.0
2026-02-26,0.0,2.4,-5.5
2026-02-27,0.0,5.7,-0.2
2026-02-28,6.0,3.3,0.4
2026-03-01,0.0,0.9,-1.8
2026-03-02,0.0,-0.2,-2.1
2026-03-03,0.0,2.3,-1.6
2026-03-04,0.0,4.4,0.0
2026-03-05,0.0,4.2,-0.3
2026-03-06,0.0,3.0,-1.4
2026-03-07,9.0,3.3,-1.0
2026-03-08,1.5,0.9,-1.4
2026-03-09,0.5,0.8,-2.6
2026-03-10,0.0,1.2,-3.1
2026-03-11,0.0,2.0,-3.3
2026-03-12,0.5,1.2,-3.8
2026-03-13,1.0,2.0,-0.3
2026-03-14,4.0,3.7,0.8
2026-03-15,0.5,4.2,1.0
2026-03-16,0.0,3.5,-0.4
2026-03-17,1.0,3.1,-1.1
2026-03-18,0.0,6.3,2.9
2026-03-19,5.0,6.7,0.7
2026-03-20,0.0,5.1,0.3
2026-03-21,2.5,3.8,-1.4
2026-03-22,1.5,7.3,-0.1
2026-03-23,5.0,5.9,2.1
2026-03-24,0.0,4.2,-0.9
2026-03-25,0.0,8.7,0.4
2026-03-26,0.0,12.3,1.8
2026-03-27,0.0,8.4,2.9
2026-03-28,1.5,6.7,3.6
2026-03-29,2.5,5.0,1.7
2026-03-30,0.0,9.4,3.6
2026-03-31,0.0,8.8,2.8
2026-04-01,0.0,9.8,0.5
2026-04-02,0.0,8.7,0.5
2026-04-03,0.0,8.0,1.6
2026-04-04,4.0,11.6,6.8
2026-04-05,3.0,8.9,1.3
2026-04-06,2.5,10.0,-0.5
2026-04-07,13.0,6.8,1.2
2026-04-08,1.0,7.9,0.9
2026-04-09,0.0,8.2,7.0
2026-04-10,1.5,12.8,2.6
2026-04-11,15.5,11.2,1.5
2026-04-12,2.0,6.9,0.3
2026-04-13,0.5,8.2,0.1
2026-04-14,0.0,9.4,2.2
2026-04-15,0.0,10.1,0.2
2026-04-16,0.0,10.8,-0.9
2026-04-17,0.0,11.2,7.2
2026-04-18,0.0,11.1,5.1
2026-04-19,0.0,8.9,2.4
2026-04-20,0.0,14.4,3.2
2026-04-21,20.0,13.0,5.0
2026-04-22,0.0,9.3,2.9
2026-04-23,0.5,7.4,3.1
2026-04-24,2.0,6.7,-0.9
2026-04-25,0.0,8.0,-1.1
2026-04-26,0.0,14.7,6.7
2026-04-27,0.0,11.1,3.7
2026-04-28,1.5,7.0,0.8
2026-04-29,0.0,9.4,2.6
2026-04-30,1.0,10.3,7.4
2026-05-01,0.0,16.2,8.9
2026-05-02,3.0,11.8,4.9
2026-05-03,0.5,9.1,3.0
2026-05-04,15.0,7.8,1.4
2026-05-05,0.0,11.2,0.5
2026-05-06,0.0,11.0,9.9
2026-05-07,2.0,10.0,8.1
2026-05-08,0.5,14.1,6.4
2026-05-09,29.0,10.3,5.7
2026-05-10,0.0,15.3,7.0
2026-05-11,0.0,13.7,10.5
2026-05-12,0.0,14.2,10.0
2026-05-13,6.5,11.1,5.6
2026-05-14,0.0,12.3,2.3
2026-05-15,0.0,14.8,9.5
2026-05-16,2.5,11.2,7.3
2026-05-17,0.0,13.7,6.8
2026-05-18,3.5,12.4,8.4
2026-05-19,8.0,13.1,6.0
2026-05-20,0.0,13.3,5.9
2026-05-21,0.0,17.6,5.7
2026-05-22,0.0,16.5,6.1
2026-05-23,0.0,14.7,6.8
2026-05-24,5.0,19.0,9.1
2026-05-25,4.0,14.3,10.9
2026-05-26,7.0,15.6,11.0
2026-05-27,0.5,16.0,9.9
2026-05-28,15.5,18.5,10.5
2026-05-29,6.0,15.0,8.3
2026-05-30,0.0,12.6,7.9
2026-05-31,0.0,19.7,11.1
2026-06-01,0.0,20.7,14.3
2026-06-02,0.0,18.1,12.5
2026-06-03,0.0,25.1,11.8
2026-06-04,0.0,19.3,9.4
2026-06-05,0.0,22.4,8.9
2026-06-06,0.0,16.5,9.1
2026-06-07,0.0,16.2,9.2
2026-06-08,4.5,13.9,10.1
