date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,0.0,3.6,-1.2
2026-01-02,2.0,0.8,-2.9
2026-01-03,0.0,2.2,-1.5
2026-01-04,0.0,5.7,-4.3
2026-01-05,1.0,5.8,-1.9
2026-01-06,0.0,5.1,-2.7
2026-01-07,0.0,7.5,-3.0
2026-01-08,1.5,5.2,-0.8
2026-01-09,0.5,5.8,-2.8
2026-01-10,0.0,10.6,-4.6
2026-01-11,0.5,7.7,-4.1
2026-01-12,0.0,4.5,-4.6
2026-01-13,1.0,7.4,-2.9
2026-01-14,0.0,5.9,-2.0
2026-01-15,0.0,11.5,-3.4
2026-01-16,0.0,13.7,0.7
2026-01-17,0.0,14.9,-1.8
2026-01-18,0.0,12.7,-1.4
2026-01-19,0.0,14.5,1.4
2026-01-20,0.0,10.0,-2.0
2026-01-21,0.0,2.7,-3.0
2026-01-22,0.0,-1.5,-4.1
2026-01-23,0.0,1.6,-3.9
2026-01-24,6.0,1.1,-3.0
2026-01-25,0.0,0.2,-2.4
2026-01-26,0.0,5.3,-4.7
2026-01-27,0.0,6.0,-1.3
2026-01-28,0.0,3.9,-1.4
2026-01-29,0.0,2.6,-2.0
2026-01-30,0.0,3.1,-1.2
2026-01-31,0.0,4.2,-2.8
2026-02-01,0.0,4.7,-2.7
2026-02-02,0.5,5.2,-0.5
2026-02-03,0.0,5.4,-3.1
2026-02-04,0.0,10.7,-3.4
2026-02-05,0.0,12.0,-2.8
2026-02-06,0.0,11.2,-0.9
2026-02-07,1.0,6.5,-1.1
2026-02-08,3.5,-0.6,-5.4
2026-02-09,0.5,4.8,-5.3
2026-02-10,4.5,6.6,-5.0
2026-02-11,8.0,6.2,2.3
2026-02-12,0.0,9.1,-2.1
2026-02-13,0.0,11.6,-3.7
2026-02-14,1.0,12.1,-3.5
2026-02-15,1.0,14.4,4.1
2026-02-16,0.0,11.9,1.5
2026-02-17,0.0,11.0,-1.6
2026-02-18,0.0,8.3,-2.6
2026-02-19,0.0,10.4,-1.4
2026-02-20,0.0,11.6,-1.3
2026-02-21,0.0,13.2,-2.9
2026-02-22,0.5,12.6,4.4
2026-02-23,0.0,19.5,4.0
2026-02-24,12.0,15.4,0.5
2026-02-25,52.0,14.4,7.2
2026-02-26,0.5,16.7,5.5
2026-02-27,18.5,10.9,8.4
2026-02-28,3.0,11.5,1.8
2026-03-01,0.0,17.9,-1.0
2026-03-02,18.0,10.1,3.8
2026-03-03,23.5,15.4,5.9
2026-03-04,0.0,8.7,3.4
2026-03-05,0.0,14.3,1.7
2026-03-06,4.0,13.7,0.4
2026-03-07,0.5,7.7,2.1
2026-03-08,0.5,10.0,-0.7
2026-03-09,1.5,10.9,-2.6
2026-03-10,2.0,5.2,-2.2
2026-03-11,0.0,11.4,-4.5
2026-03-12,0.0,10.0,-2.3
2026-03-13,0.5,4.7,-0.1
2026-03-14,0.0,12.3,0.9
2026-03-15,0.0,14.3,-1.4
2026-03-16,0.0,13.3,0.1
2026-03-17,0.0,16.6,-0.2
2026-03-18,12.5,10.2,2.7
2026-03-19,4.0,11.2,2.0
2026-03-20,0.0,14.6,-0.4
2026-03-21,0.0,16.0,0.8
2026-03-22,17.5,11.3,-0.1
2026-03-23,2.5,14.9,5.9
2026-03-24,0.0,17.9,0.5
2026-03-25,37.0,9.5,5.9
2026-03-26,0.0,15.0,4.3
2026-03-27,0.0,19.6,2.4
2026-03-28,0.0,19.8,3.7
2026-03-29,0.0,19.0,5.6
2026-03-30,19.5,19.4,7.4
2026-03-31,39.0,19.7,8.0
2026-04-01,22.5,10.7,7.0
2026-04-02,1.5,13.1,5.3
2026-04-03,0.0,17.9,2.7
2026-04-04,85.0,16.4,9.5
2026-04-05,0.5,21.0,9.1
2026-04-06,0.0,19.6,6.7
2026-04-07,0.5,13.1,4.6
2026-04-08,0.0,17.9,3.2
2026-04-09,13.5,12.8,3.3
2026-04-10,57.0,20.3,11.3
2026-04-11,0.5,21.4,7.8
2026-04-12,0.0,23.9,7.9
2026-04-13,0.0,20.1,11.7
2026-04-14,6.5,20.0,11.7
2026-04-15,16.5,15.5,13.1
2026-04-16,0.0,21.5,6.5
2026-04-17,0.5,17.8,5.1
2026-04-18,3.5,17.2,11.7
2026-04-19,0.5,18.4,10.8
2026-04-20,4.5,17.3,12.2
2026-04-21,1.0,17.7,5.0
2026-04-22,0.5,18.6,3.0
2026-04-23,70.0,13.7,9.4
2026-04-24,3.5,13.7,7.6
2026-04-25,1.0,21.1,7.7
2026-04-26,66.0,14.5,10.6
2026-04-27,6.0,21.4,9.7
2026-04-28,0.0,24.0,8.7
2026-04-29,0.0,19.6,9.6
2026-04-30,52.5,13.1,9.1
2026-05-01,6.5,16.3,9.6
2026-05-02,0.0,26.6,8.0
2026-05-03,54.0,16.3,10.0
2026-05-04,0.0,17.7,9.2
2026-05-05,0.0,20.6,5.4
2026-05-06,0.0,21.3,6.3
2026-05-07,0.0,24.3,9.2
2026-05-08,0.0,21.5,12.2
2026-05-09,0.0,20.8,6.8
2026-05-10,0.0,22.4,4.4
2026-05-11,0.0,21.4,7.3
2026-05-12,0.0,23.0,10.0
2026-05-13,0.0,24.0,9.8
2026-05-14,0.0,24.6,8.8
2026-05-15,0.0,26.4,8.6
2026-05-16,0.0,26.2,10.3
2026-05-17,0.0,30.8,9.7
2026-05-18,0.0,29.1,9.1
2026-05-19,0.0,27.1,9.3
2026-05-20,17.0,22.6,11.8
2026-05-21,18.0,21.7,18.2
2026-05-22,0.0,22.8,14.2
2026-05-23,16.0,19.0,14.5
2026-05-24,2.0,22.8,15.8
2026-05-25,0.0,26.6,16.0
2026-05-26,0.0,23.6,14.5
