date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,0.0,9.6,-2.1
2026-01-02,0.0,5.2,-2.5
2026-01-03,0.0,9.7,-3.1
2026-01-04,0.0,11.5,-4.3
2026-01-05,0.0,13.5,2.7
2026-01-06,0.0,12.0,-1.1
2026-01-07,0.0,14.7,-2.4
2026-01-08,0.0,9.7,-1.8
2026-01-09,0.0,11.3,-3.4
2026-01-10,0.0,17.7,-2.9
2026-01-11,0.0,9.5,-1.9
2026-01-12,0.0,10.3,-4.5
2026-01-13,0.0,15.7,-1.3
2026-01-14,0.0,13.2,-0.2
2026-01-15,0.0,18.6,-2.4
2026-01-16,0.0,19.0,3.0
2026-01-17,0.0,18.8,0.0
2026-01-18,0.0,16.9,0.2
2026-01-19,0.0,17.9,1.7
2026-01-20,0.0,10.6,3.9
2026-01-21,0.0,8.9,-0.4
2026-01-22,0.0,6.5,-2.7
2026-01-23,0.0,8.2,-4.3
2026-01-24,0.0,10.2,-2.0
2026-01-25,0.0,8.7,-3.1
2026-01-26,0.0,10.4,-4.8
2026-01-27,0.0,10.6,-0.5
2026-01-28,0.0,10.9,-4.1
2026-01-29,0.0,10.0,-2.3
2026-01-30,0.0,11.5,-1.3
2026-01-31,0.0,9.9,-3.5
2026-02-01,0.0,11.5,-3.4
2026-02-02,0.0,12.8,-3.8
2026-02-03,0.0,11.3,-2.7
2026-02-04,0.0,16.1,-2.6
2026-02-05,0.0,17.5,-0.7
2026-02-06,0.0,15.6,2.8
2026-02-07,0.0,11.8,1.5
2026-02-08,0.0,3.2,-3.7
2026-02-09,0.0,10.0,-4.6
2026-02-10,0.5,10.1,-3.8
2026-02-11,2.5,12.7,3.1
2026-02-12,0.0,15.9,0.4
2026-02-13,0.0,18.0,-2.9
2026-02-14,13.0,17.7,-1.5
2026-02-15,6.0,17.8,8.7
2026-02-16,0.0,15.6,5.7
2026-02-17,0.0,12.8,0.9
2026-02-18,0.0,15.2,-1.9
2026-02-19,0.0,13.6,-1.1
2026-02-20,0.0,17.7,2.3
2026-02-21,0.0,19.1,-0.9
2026-02-22,0.0,24.4,1.3
2026-02-23,0.0,17.5,4.2
2026-02-24,2.0,20.9,1.8
2026-02-25,14.5,13.2,9.6
2026-02-26,0.0,15.1,9.9
2026-02-27,27.5,12.1,10.3
2026-02-28,0.0,15.8,5.6
2026-03-01,0.0,17.0,4.5
2026-03-02,18.0,9.8,5.9
2026-03-03,4.0,15.4,8.4
2026-03-04,0.0,14.7,5.6
2026-03-05,0.0,14.1,0.5
2026-03-06,4.5,15.6,1.8
2026-03-07,0.0,13.2,1.2
2026-03-08,0.0,12.5,-1.8
2026-03-09,0.0,14.2,-1.6
2026-03-10,0.0,12.3,-0.2
2026-03-11,0.0,14.8,-2.4
2026-03-12,0.0,14.6,-1.1
