date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,2.0,-0.5,-8.5
2026-01-02,4.5,0.3,-3.2
2026-01-03,0.0,0.2,-2.8
2026-01-04,2.5,-1.5,-6.8
2026-01-05,7.0,-6.2,-8.0
2026-01-06,4.0,-6.4,-9.2
2026-01-07,6.5,0.8,-7.4
2026-01-08,1.5,-0.7,-7.2
2026-01-09,2.5,-2.5,-7.4
2026-01-10,1.5,0.4,-3.5
2026-01-11,21.5,3.8,-5.4
2026-01-12,4.5,-4.6,-6.8
2026-01-13,1.0,-2.7,-6.4
2026-01-14,4.0,-5.3,-9.5
2026-01-15,2.0,-3.0,-8.8
2026-01-16,0.0,-1.2,-3.1
2026-01-17,2.0,-1.5,-4.7
2026-01-18,0.5,-1.5,-3.5
2026-01-19,2.0,-1.4,-4.8
2026-01-20,7.0,-2.9,-5.7
2026-01-21,1.0,-3.6,-5.4
2026-01-22,0.5,-3.0,-6.0
2026-01-23,7.0,-1.5,-8.1
2026-01-24,14.0,-3.6,-6.9
2026-01-25,1.5,-4.4,-6.4
2026-01-26,1.0,-4.7,-6.9
2026-01-27,1.0,-3.8,-7.5
2026-01-28,0.0,-5.4,-9.2
2026-01-29,0.0,-2.7,-11.0
2026-01-30,3.5,0.2,-3.6
2026-01-31,1.0,-1.2,-3.9
2026-02-01,6.5,-2.7,-4.9
2026-02-02,0.5,-3.0,-6.3
2026-02-03,1.0,1.4,-5.7
2026-02-04,0.5,1.8,-2.9
2026-02-05,--,-2.2,-5.0
2026-02-06,12.0,-0.7,-6.3
2026-02-07,1.0,-3.0,-7.1
2026-02-08,6.0,-5.6,-9.0
2026-02-09,1.5,-4.6,-7.3
2026-02-10,0.5,0.0,-5.0
2026-02-11,4.0,-1.0,-4.5
2026-02-12,4.5,-3.5,-6.9
2026-02-13,0.5,-1.3,-5.6
2026-02-14,0.0,-3.2,-6.3
2026-02-15,10.5,-0.7,-4.6
2026-02-16,1.0,-3.4,-5.2
2026-02-17,1.0,2.4,-3.7
2026-02-18,10.5,2.3,-1.2
