date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,0.0,9.7,6.2
2026-01-02,29.0,8.3,0.4
2026-01-03,0.0,7.6,0.9
2026-01-04,--,11.3,3.0
2026-01-05,--,12.0,3.4
2026-01-06,--,9.4,2.9
2026-01-07,2.0,9.6,2.2
2026-01-08,--,12.0,1.3
2026-01-09,0.0,8.9,0.4
2026-01-10,2.0,15.4,4.6
2026-01-11,--,15.6,2.5
2026-01-12,--,9.5,1.0
2026-01-13,--,15.4,1.7
2026-01-14,--,11.9,4.5
2026-01-15,--,12.8,3.3
2026-01-16,--,16.6,8.1
2026-01-17,--,16.9,10.0
2026-01-18,--,11.7,5.8
2026-01-19,0.0,14.2,7.7
2026-01-20,--,11.2,4.4
2026-01-21,0.0,6.8,2.3
2026-01-22,0.0,6.3,-0.7
2026-01-23,--,8.8,-0.3
2026-01-24,--,11.6,0.1
2026-01-25,--,7.9,0.5
2026-01-26,--,6.7,-1.1
2026-01-27,1.0,11.7,3.2
2026-01-28,0.0,9.0,2.4
2026-01-29,2.0,9.7,2.5
2026-01-30,--,7.9,0.0
2026-01-31,--,9.0,0.4
2026-02-01,--,12.3,1.0
2026-02-02,4.0,12.4,2.0
2026-02-03,--,9.2,2.1
2026-02-04,0.0,12.6,3.7
2026-02-05,--,14.1,4.5
2026-02-06,--,15.2,4.8
2026-02-07,14.5,9.1,1.0
2026-02-08,11.0,3.0,-2.4
2026-02-09,--,7.7,-3.5
2026-02-10,--,12.2,0.3
2026-02-11,15.0,13.4,5.8
2026-02-12,0.0,11.3,3.3
2026-02-13,0.0,11.8,3.2
2026-02-14,--,14.1,3.7
2026-02-15,--,18.1,9.8
2026-02-16,3.0,13.3,5.9
2026-02-17,2.5,9.0,4.9
2026-02-18,0.0,13.3,6.5
2026-02-19,--,10.5,2.7
2026-02-20,8.0,11.0,2.4
2026-02-21,0.0,15.2,5.1
2026-02-22,--,16.9,7.0
2026-02-23,--,19.0,13.4
2026-02-24,0.0,15.4,12.2
2026-02-25,48.0,14.6,10.2
2026-02-26,2.5,11.4,9.7
2026-02-27,0.5,12.3,9.7
2026-02-28,0.0,17.0,9.6
2026-03-01,--,14.9,6.9
2026-03-02,0.0,13.4,11.8
2026-03-03,22.5,12.2,9.5
2026-03-04,81.0,14.4,6.8
2026-03-05,--,13.0,4.1
2026-03-06,0.0,15.2,9.3
2026-03-07,1.0,16.7,9.2
2026-03-08,0.0,11.9,4.8
2026-03-09,1.5,11.1,4.1
2026-03-10,9.5,9.8,5.2
2026-03-11,0.5,10.2,4.2
2026-03-12,0.0,11.0,6.7
2026-03-13,0.0,10.8,7.3
2026-03-14,0.0,11.4,8.9
2026-03-15,0.5,14.0,5.8
2026-03-16,0.5,12.7,8.9
2026-03-17,--,13.5,10.0
2026-03-18,0.5,16.1,8.6
2026-03-19,9.0,16.5,12.8
2026-03-20,0.5,13.4,7.4
2026-03-21,--,12.1,6.5
2026-03-22,--,17.5,8.2
2026-03-23,4.0,13.6,9.7
2026-03-24,--,14.5,8.7
2026-03-25,3.5,16.0,11.0
2026-03-26,15.0,14.3,12.1
2026-03-27,0.0,16.1,12.9
2026-03-28,5.5,17.0,11.3
2026-03-29,--,18.0,12.7
2026-03-30,--,19.3,13.4
2026-03-31,2.0,18.1,15.7
2026-04-01,15.5,17.7,12.7
2026-04-02,21.5,15.7,9.5
2026-04-03,--,18.6,7.7
2026-04-04,1.5,18.2,13.0
2026-04-05,8.0,21.3,15.9
2026-04-06,--,17.6,14.0
2026-04-07,6.5,17.4,9.1
2026-04-08,--,15.6,6.5
2026-04-09,0.0,19.3,12.6
2026-04-10,15.5,18.6,15.4
2026-04-11,--,20.5,16.0
2026-04-12,--,19.1,14.2
2026-04-13,--,21.9,15.6
2026-04-14,--,18.4,13.4
2026-04-15,29.5,20.3,13.4
2026-04-16,6.5,15.6,12.0
2026-04-17,--,15.6,11.2
2026-04-18,--,20.7,11.7
2026-04-19,--,20.3,13.4
2026-04-20,--,21.8,14.4
2026-04-21,1.0,22.9,14.1
2026-04-22,--,21.9,11.7
2026-04-23,27.0,17.9,14.1
2026-04-24,2.0,15.7,13.0
2026-04-25,--,16.9,13.8
2026-04-26,0.0,20.4,10.5
2026-04-27,36.5,21.3,13.0
