date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,--,8.0,2.5
2026-01-02,1.0,4.8,0.4
2026-01-03,0.0,9.6,2.9
2026-01-04,--,11.0,6.6
2026-01-05,2.0,12.6,5.2
2026-01-06,--,11.9,2.1
2026-01-07,0.0,12.3,3.4
2026-01-08,0.0,9.0,1.6
2026-01-09,--,9.2,0.4
2026-01-10,1.5,16.3,7.0
2026-01-11,6.5,9.9,0.7
2026-01-12,2.0,12.1,0.6
2026-01-13,1.0,14.3,8.2
2026-01-14,--,12.5,3.1
2026-01-15,0.0,19.1,6.1
2026-01-16,--,18.6,9.2
2026-01-17,--,17.8,7.4
2026-01-18,--,18.0,6.6
2026-01-19,--,17.8,8.0
2026-01-20,0.0,10.7,6.7
2026-01-21,0.0,7.0,2.7
2026-01-22,0.0,5.4,1.3
2026-01-23,0.0,7.4,3.0
2026-01-24,7.0,9.4,2.9
2026-01-25,--,7.9,1.5
2026-01-26,0.0,9.8,-0.2
2026-01-27,1.0,9.2,2.1
2026-01-28,--,9.9,0.7
2026-01-29,0.0,8.6,0.3
2026-01-30,--,9.4,2.2
2026-01-31,--,11.3,3.6
2026-02-01,0.0,8.9,4.8
2026-02-02,0.0,11.6,2.7
2026-02-03,--,10.6,0.8
2026-02-04,--,14.6,3.2
2026-02-05,0.0,15.4,7.4
2026-02-06,0.0,14.3,8.8
2026-02-07,0.5,9.1,3.0
2026-02-08,0.0,3.2,-1.5
2026-02-09,--,9.7,-1.4
2026-02-10,15.5,10.9,3.2
2026-02-11,5.5,11.5,8.2
2026-02-12,--,13.3,4.8
2026-02-13,--,15.1,3.8
2026-02-14,31.5,12.9,7.5
2026-02-15,0.0,18.9,9.7
2026-02-16,--,13.4,7.4
2026-02-17,--,15.3,7.5
2026-02-18,--,12.4,7.6
2026-02-19,--,13.8,4.8
2026-02-20,0.0,15.5,7.8
2026-02-21,--,17.8,7.7
2026-02-22,0.0,20.1,12.3
2026-02-23,--,17.1,7.2
2026-02-24,20.5,13.0,7.9
2026-02-25,14.0,15.9,10.7
2026-02-26,0.0,20.0,9.9
2026-02-27,33.5,14.4,11.8
2026-02-28,--,17.0,10.8
2026-03-01,--,19.7,9.0
2026-03-02,12.0,15.1,11.1
2026-03-03,4.0,14.6,9.9
2026-03-04,--,15.2,8.7
2026-03-05,--,18.5,7.0
2026-03-06,26.5,16.0,8.9
2026-03-07,--,11.8,4.5
2026-03-08,--,12.9,2.0
2026-03-09,0.0,13.9,4.9
2026-03-10,--,13.7,5.0
2026-03-11,--,14.5,3.5
2026-03-12,--,14.7,6.4
2026-03-13,0.0,11.3,6.2
2026-03-14,--,14.7,5.4
2026-03-15,--,16.9,5.8
2026-03-16,--,17.1,7.2
2026-03-17,--,18.3,7.9
2026-03-18,15.0,18.2,9.5
2026-03-19,1.5,18.0,10.1
2026-03-20,--,18.3,7.3
2026-03-21,--,19.4,8.4
2026-03-22,22.0,17.6,10.7
2026-03-23,0.0,20.8,11.2
2026-03-24,0.0,21.7,10.9
2026-03-25,21.0,15.4,12.3
2026-03-26,--,19.9,10.6
2026-03-27,--,19.8,9.6
2026-03-28,--,20.4,10.8
2026-03-29,--,21.7,10.9
2026-03-30,16.0,22.3,12.5
2026-03-31,5.5,20.5,13.9
2026-04-01,4.5,14.5,11.6
2026-04-02,0.0,18.5,10.3
2026-04-03,1.0,21.9,10.8
2026-04-04,37.5,19.7,15.2
2026-04-05,0.0,19.7,12.5
2026-04-06,--,23.0,11.9
2026-04-07,1.0,20.7,9.5
2026-04-08,--,19.5,6.4
2026-04-09,7.0,21.6,12.7
2026-04-10,20.5,22.5,15.6
2026-04-11,--,20.5,13.9
2026-04-12,2.0,23.9,14.9
2026-04-13,7.0,21.1,14.5
2026-04-14,49.5,18.3,17.1
2026-04-15,1.0,19.9,14.4
2026-04-16,--,25.7,12.6
2026-04-17,0.0,23.3,15.2
2026-04-18,12.0,20.6,16.8
2026-04-19,11.0,20.4,16.4
2026-04-20,2.0,24.0,15.5
2026-04-21,--,24.9,14.9
2026-04-22,10.0,21.1,15.1
2026-04-23,26.0,16.8,15.2
2026-04-24,0.0,23.6,14.3
2026-04-25,0.0,23.8,15.7
2026-04-26,23.0,17.7,14.1
2026-04-27,--,22.1,13.5
2026-04-28,0.0,22.2,14.3
2026-04-29,3.5,21.0,13.4
2026-04-30,12.0,16.8,12.5
2026-05-01,0.0,20.3,14.6
2026-05-02,--,22.7,13.0
2026-05-03,54.0,21.9,16.6
2026-05-04,--,18.8,13.3
2026-05-05,--,22.0,11.7
2026-05-06,--,24.7,13.9
2026-05-07,--,25.7,15.9
2026-05-08,0.0,22.2,17.2
2026-05-09,--,22.9,13.8
2026-05-10,--,24.3,12.6
2026-05-11,--,26.0,15.0
2026-05-12,8.5,25.2,15.0
2026-05-13,0.0,24.6,14.9
2026-05-14,--,25.8,16.0
2026-05-15,--,28.1,17.3
2026-05-16,--,27.3,17.6
2026-05-17,--,27.8,17.1
2026-05-18,--,27.9,17.2
2026-05-19,0.0,28.9,17.9
2026-05-20,0.0,31.1,22.5
2026-05-21,8.0,24.3,20.6
2026-05-22,--,24.8,19.2
2026-05-23,0.0,26.8,18.4
2026-05-24,--,29.2,20.7
2026-05-25,--,31.2,21.5
2026-05-26,0.0,28.3,21.9
2026-05-27,37.0,25.2,22.0
2026-05-28,2.0,24.3,21.6
2026-05-29,0.0,26.5,20.6
2026-05-30,--,27.8,18.0
2026-05-31,0.0,30.7,20.7
2026-06-01,6.5,28.8,20.8
2026-06-02,13.5,26.8,22.8
2026-06-03,0.0,26.2,21.6
2026-06-04,20.0,24.6,20.1
2026-06-05,0.0,25.7,19.5
2026-06-06,3.5,29.2,17.8
2026-06-07,24.5,30.2,22.0
2026-06-08,13.0,24.8,19.5
