date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,10.5,4.0,0.3
2026-01-02,18.0,3.7,-0.1
2026-01-03,16.5,5.3,0.1
2026-01-04,10.5,8.8,2.0
2026-01-05,7.5,7.3,1.1
2026-01-06,1.0,6.2,-1.6
2026-01-07,3.0,11.2,-2.1
2026-01-08,4.0,7.7,-0.6
2026-01-09,2.0,8.5,-0.1
2026-01-10,11.0,13.1,6.9
2026-01-11,10.0,9.6,-0.8
2026-01-12,4.5,7.5,-1.2
2026-01-13,21.0,10.4,2.3
2026-01-14,5.0,6.0,0.9
2026-01-15,12.5,13.1,6.0
2026-01-16,0.0,11.0,1.3
2026-01-17,0.0,12.5,-0.8
2026-01-18,0.0,8.7,1.3
2026-01-19,12.0,12.4,4.1
2026-01-20,2.5,5.6,-2.3
2026-01-21,25.0,1.2,-2.2
2026-01-22,3.5,0.7,-2.9
2026-01-23,3.0,4.5,-3.0
2026-01-24,4.5,5.1,-0.1
2026-01-25,1.5,1.3,-1.3
2026-01-26,1.5,1.9,-2.0
2026-01-27,3.5,6.8,-2.9
2026-01-28,3.0,3.0,-0.5
2026-01-29,9.0,1.6,-1.4
2026-01-30,3.0,1.9,-1.9
2026-01-31,5.0,3.7,-0.5
2026-02-01,1.5,4.6,-0.6
2026-02-02,3.5,4.6,0.4
2026-02-03,1.0,5.8,0.2
2026-02-04,0.0,10.2,2.9
2026-02-05,0.5,11.3,3.1
2026-02-06,2.0,10.3,0.0
2026-02-07,1.0,2.0,-2.3
2026-02-08,3.0,0.2,-4.1
2026-02-09,0.5,4.2,-2.1
2026-02-10,0.0,10.4,-3.4
2026-02-11,10.0,9.3,0.1
2026-02-12,0.0,8.6,-2.4
2026-02-13,0.5,10.7,0.7
2026-02-14,0.0,12.7,2.7
2026-02-15,0.0,13.7,0.5
2026-02-16,0.0,6.7,1.7
2026-02-17,0.0,7.2,-0.9
2026-02-18,4.5,9.6,-0.9
2026-02-19,0.0,5.9,-4.1
2026-02-20,0.0,9.6,-5.5
2026-02-21,0.0,13.1,-2.1
2026-02-22,0.0,19.1,-0.6
2026-02-23,7.0,17.1,1.7
2026-02-24,4.5,13.2,-0.3
2026-02-25,14.0,9.6,5.3
2026-02-26,0.0,10.6,8.0
2026-02-27,0.0,12.9,8.5
2026-02-28,2.0,10.3,4.8
2026-03-01,0.0,12.8,1.4
2026-03-02,0.0,12.0,2.0
2026-03-03,15.0,9.4,6.8
2026-03-04,2.5,8.9,4.1
2026-03-05,0.0,9.0,1.1
2026-03-06,9.0,10.8,1.0
2026-03-07,4.0,8.2,2.9
2026-03-08,0.0,6.4,1.6
2026-03-09,0.0,8.4,0.0
2026-03-10,0.5,7.2,-0.5
2026-03-11,0.0,8.8,-1.2
2026-03-12,0.0,10.0,-2.5
2026-03-13,2.0,8.4,-1.3
2026-03-14,0.0,10.3,0.1
2026-03-15,3.0,8.8,0.3
2026-03-16,0.0,11.6,-0.3
2026-03-17,0.0,13.1,0.5
2026-03-18,6.5,14.6,5.0
2026-03-19,13.0,11.8,0.9
2026-03-20,0.0,11.3,-2.0
2026-03-21,0.0,9.2,-1.6
2026-03-22,0.0,15.1,-2.4
2026-03-23,0.0,14.0,2.3
2026-03-24,0.0,14.1,0.4
2026-03-25,1.5,16.2,7.5
2026-03-26,2.0,16.0,5.0
2026-03-27,0.0,13.9,1.7
2026-03-28,0.0,18.9,5.1
2026-03-29,0.0,17.4,4.6
2026-03-30,0.0,19.8,7.2
2026-03-31,15.5,15.6,10.6
2026-04-01,5.5,13.6,9.5
2026-04-02,7.0,13.0,5.1
2026-04-03,0.0,15.6,5.0
2026-04-04,6.5,17.5,9.6
2026-04-05,0.0,17.1,11.4
2026-04-06,0.0,17.8,8.9
2026-04-07,4.5,16.2,5.6
2026-04-08,0.0,13.8,4.4
