date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,--,8.9,3.0
2026-01-02,4.0,5.9,2.7
2026-01-03,1.0,10.3,3.1
2026-01-04,--,12.0,7.1
2026-01-05,6.5,12.4,6.2
2026-01-06,--,12.5,3.1
2026-01-07,1.0,13.1,5.3
2026-01-08,0.0,10.7,1.6
2026-01-09,--,10.6,1.4
2026-01-10,2.0,17.2,7.3
2026-01-11,1.5,11.9,3.1
2026-01-12,0.0,13.1,2.6
2026-01-13,0.5,15.8,9.0
2026-01-14,--,13.6,5.9
2026-01-15,0.0,19.2,6.8
2026-01-16,--,18.5,9.7
2026-01-17,--,17.7,9.0
2026-01-18,--,18.2,9.4
2026-01-19,--,18.4,11.1
2026-01-20,--,13.0,6.7
2026-01-21,0.0,8.5,3.6
2026-01-22,0.0,6.6,2.1
2026-01-23,0.5,9.3,2.8
2026-01-24,3.5,11.7,4.9
2026-01-25,--,10.2,2.2
2026-01-26,0.0,10.8,2.2
2026-01-27,3.5,9.9,4.1
2026-01-28,--,11.5,1.8
2026-01-29,0.0,10.6,1.7
2026-01-30,--,10.3,5.8
2026-01-31,--,11.3,4.5
2026-02-01,0.0,10.9,5.8
2026-02-02,0.0,12.5,6.1
2026-02-03,0.0,11.5,2.8
2026-02-04,--,15.6,5.3
2026-02-05,0.0,15.0,8.7
2026-02-06,0.5,14.9,10.3
2026-02-07,4.5,10.7,4.6
2026-02-08,3.0,4.9,-1.4
2026-02-09,--,9.7,-1.4
2026-02-10,9.0,14.5,5.9
2026-02-11,7.0,13.6,8.7
2026-02-12,--,13.8,6.7
2026-02-13,--,16.3,5.7
2026-02-14,6.5,16.1,9.0
2026-02-15,0.5,19.4,12.0
2026-02-16,0.0,16.2,8.9
2026-02-17,--,15.6,9.0
2026-02-18,--,13.2,8.8
2026-02-19,--,13.7,6.7
2026-02-20,0.0,16.1,8.6
2026-02-21,--,18.8,8.4
2026-02-22,4.0,20.9,13.7
2026-02-23,--,17.7,8.6
2026-02-24,11.5,20.9,10.3
2026-02-25,31.5,17.7,11.8
2026-02-26,--,22.0,12.2
2026-02-27,24.5,16.9,12.7
2026-02-28,--,18.5,9.7
2026-03-01,--,20.5,10.3
2026-03-02,7.0,16.7,13.0
2026-03-03,2.0,18.4,10.6
2026-03-04,--,17.2,8.5
2026-03-05,--,18.8,8.2
2026-03-06,21.0,16.9,7.8
2026-03-07,--,13.0,5.1
2026-03-08,--,14.3,3.0
2026-03-09,--,14.8,6.6
2026-03-10,--,14.9,5.8
2026-03-11,--,16.0,6.4
2026-03-12,--,17.6,7.5
2026-03-13,--,14.1,6.4
2026-03-14,--,17.1,4.2
2026-03-15,--,18.1,6.2
2026-03-16,0.0,17.8,8.7
2026-03-17,--,18.1,10.7
2026-03-18,8.0,19.1,10.5
2026-03-19,2.5,17.8,11.3
2026-03-20,--,18.3,8.3
2026-03-21,--,20.0,11.1
2026-03-22,15.0,19.6,13.6
2026-03-23,0.0,21.9,13.3
2026-03-24,0.5,20.4,13.1
2026-03-25,22.0,15.9,12.5
2026-03-26,--,21.5,11.5
2026-03-27,--,20.9,11.2
2026-03-28,--,21.0,11.4
2026-03-29,--,21.6,12.3
2026-03-30,7.5,23.0,14.7
2026-03-31,26.0,20.8,14.4
2026-04-01,9.0,15.3,12.2
2026-04-02,0.0,19.5,10.9
2026-04-03,0.0,21.1,11.6
2026-04-04,21.0,20.7,16.0
2026-04-05,0.0,20.3,12.7
2026-04-06,0.0,22.4,12.7
2026-04-07,2.5,21.4,9.0
2026-04-08,--,19.3,8.0
2026-04-09,4.5,20.2,13.8
2026-04-10,7.0,22.4,15.7
2026-04-11,--,20.7,13.3
2026-04-12,0.5,23.0,15.2
2026-04-13,6.0,19.8,14.9
2026-04-14,21.5,18.3,17.2
2026-04-15,2.5,22.6,15.3
2026-04-16,--,25.8,13.9
2026-04-17,0.0,24.8,15.7
2026-04-18,22.5,23.1,16.6
2026-04-19,22.0,20.7,16.2
2026-04-20,6.5,23.8,15.4
2026-04-21,0.0,25.2,15.0
2026-04-22,16.5,22.2,15.1
2026-04-23,23.5,18.5,14.9
2026-04-24,3.0,18.2,14.8
2026-04-25,0.0,24.4,14.5
2026-04-26,27.5,20.7,13.7
2026-04-27,--,22.2,13.2
2026-04-28,0.0,23.8,14.6
2026-04-29,1.5,23.6,14.5
2026-04-30,23.0,19.4,13.7
2026-05-01,0.0,21.2,15.2
2026-05-02,--,23.1,14.0
2026-05-03,52.5,22.1,17.4
2026-05-04,--,19.7,14.8
2026-05-05,--,22.4,11.8
2026-05-06,--,25.2,16.0
