date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,20.0,17.1,15.6
2026-01-02,3.5,16.3,11.8
2026-01-03,2.0,17.8,10.7
2026-01-04,--,19.9,11.5
2026-01-05,1.5,21.6,11.0
2026-01-06,0.0,19.0,15.7
2026-01-07,0.0,16.9,14.4
2026-01-08,1.0,18.5,13.4
2026-01-09,3.0,17.9,11.2
2026-01-10,0.0,20.4,10.5
2026-01-11,0.0,17.6,13.4
2026-01-12,0.0,19.4,12.3
2026-01-13,0.0,20.4,11.3
2026-01-14,--,20.3,10.6
2026-01-15,--,22.6,12.1
2026-01-16,--,23.3,13.4
2026-01-17,--,23.7,16.6
2026-01-18,0.0,24.8,19.0
2026-01-19,0.0,24.1,17.8
2026-01-20,5.5,19.0,15.8
2026-01-21,1.5,16.4,12.9
2026-01-22,1.0,16.6,11.2
2026-01-23,0.0,17.9,12.3
2026-01-24,--,18.4,12.2
2026-01-25,--,19.5,11.2
2026-01-26,0.0,21.1,14.6
2026-01-27,14.5,21.9,16.2
2026-01-28,1.5,18.4,14.8
2026-01-29,--,19.4,11.3
2026-01-30,--,20.7,11.6
2026-01-31,1.5,21.3,16.1
2026-02-01,0.5,18.3,14.7
2026-02-02,0.5,17.8,14.2
2026-02-03,--,18.2,12.1
2026-02-04,--,21.5,11.1
2026-02-05,--,23.2,14.8
2026-02-06,2.5,22.5,18.8
2026-02-07,14.5,19.4,14.2
2026-02-08,2.5,14.2,8.4
2026-02-09,0.5,14.3,9.0
2026-02-10,0.0,20.9,12.3
2026-02-11,3.0,19.8,15.1
2026-02-12,--,19.7,11.8
2026-02-13,--,21.4,10.2
2026-02-14,--,22.6,12.8
2026-02-15,0.0,23.4,18.3
2026-02-16,4.0,21.8,17.4
2026-02-17,2.5,18.5,15.8
2026-02-18,0.0,18.6,14.8
2026-02-19,--,19.7,11.9
2026-02-20,0.0,20.0,11.5
2026-02-21,--,23.5,14.1
2026-02-22,--,24.3,18.7
2026-02-23,0.0,25.0,16.7
2026-02-24,0.0,23.9,19.7
2026-02-25,7.5,21.2,18.6
2026-02-26,0.0,24.2,16.6
2026-02-27,15.0,22.1,18.4
2026-02-28,1.5,23.6,19.1
2026-03-01,0.0,24.0,18.3
2026-03-02,1.5,24.4,19.8
