date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,7.0,-5.8,-8.1
2026-01-02,1.0,2.1,-9.0
2026-01-03,6.0,0.5,-2.6
2026-01-04,6.5,-0.7,-3.6
2026-01-05,4.5,-2.9,-6.9
2026-01-06,7.0,-4.3,-8.8
2026-01-07,5.0,3.7,-10.3
2026-01-08,3.0,0.3,-6.3
2026-01-09,2.0,-0.7,-6.0
2026-01-10,16.5,6.7,-2.6
2026-01-11,4.0,4.7,-2.7
2026-01-12,1.5,-1.8,-4.8
2026-01-13,13.5,3.2,-5.8
2026-01-14,2.5,-3.7,-7.2
2026-01-15,0.5,1.5,-5.0
2026-01-16,0.0,0.9,-4.7
2026-01-17,3.0,0.8,-6.6
2026-01-18,0.5,-0.3,-4.3
2026-01-19,2.0,1.3,-5.6
2026-01-20,6.5,-0.9,-7.9
2026-01-21,18.0,-4.1,-6.8
2026-01-22,5.0,-2.5,-10.6
2026-01-23,5.0,-4.8,-8.8
2026-01-24,5.0,-4.6,-9.3
2026-01-25,10.0,-4.4,-10.2
2026-01-26,2.5,-3.1,-10.6
2026-01-27,1.0,-0.4,-6.4
2026-01-28,10.5,0.4,-9.4
2026-01-29,11.0,-1.0,-9.1
2026-01-30,3.5,1.0,-9.6
2026-01-31,1.5,1.0,-8.6
2026-02-01,7.5,-1.1,-5.7
2026-02-02,1.5,-1.5,-8.8
2026-02-03,0.0,1.9,-10.6
2026-02-04,1.0,6.9,-2.8
2026-02-05,6.0,4.1,-5.3
2026-02-06,4.5,3.8,-7.5
2026-02-07,2.5,-5.4,-12.7
2026-02-08,7.0,-2.5,-12.7
2026-02-09,4.5,0.0,-7.0
2026-02-10,5.5,6.4,-1.3
2026-02-11,5.0,3.6,-1.3
2026-02-12,5.0,-0.2,-4.3
2026-02-13,1.5,4.1,-5.3
2026-02-14,0.0,9.2,-3.0
2026-02-15,3.0,10.1,0.3
2026-02-16,3.5,0.7,-1.9
2026-02-17,0.0,2.9,-2.5
2026-02-18,6.0,5.0,-2.1
2026-02-19,3.0,-1.2,-3.7
2026-02-20,1.0,4.3,-7.1
2026-02-21,5.0,9.0,0.2
2026-02-22,0.0,8.9,-0.4
2026-02-23,2.5,8.5,0.4
2026-02-24,0.5,3.7,-3.0
2026-02-25,0.0,4.1,-3.7
2026-02-26,0.0,5.4,0.5
2026-02-27,6.0,5.3,4.1
