date,sm_rain,av_hitemp,av_lwtemp
2026-01-01,--,12.8,5.7
2026-01-02,--,9.0,1.9
2026-01-03,--,12.4,0.7
2026-01-04,--,14.1,1.3
2026-01-05,--,14.8,5.6
2026-01-06,--,13.1,2.9
2026-01-07,0.0,16.5,4.9
2026-01-08,--,12.8,3.3
2026-01-09,--,13.9,-0.6
2026-01-10,--,18.8,2.7
2026-01-11,0.0,13.3,1.8
2026-01-12,--,11.2,0.1
2026-01-13,0.0,17.9,5.7
2026-01-14,--,16.0,4.4
2026-01-15,--,18.2,2.8
2026-01-16,0.0,19.7,9.4
2026-01-17,--,19.2,7.0
2026-01-18,--,18.7,8.7
2026-01-19,0.0,19.8,11.8
2026-01-20,--,15.9,9.1
2026-01-21,--,12.2,3.4
2026-01-22,--,9.1,1.5
2026-01-23,--,11.5,1.5
2026-01-24,0.0,13.4,1.2
2026-01-25,--,12.5,3.0
2026-01-26,0.0,13.1,1.8
2026-01-27,0.0,15.2,6.1
2026-01-28,--,13.2,2.6
2026-01-29,--,13.0,0.8
2026-01-30,--,13.2,2.8
2026-01-31,--,12.1,4.6
2026-02-01,--,13.4,3.7
2026-02-02,0.0,15.0,2.5
2026-02-03,--,11.5,1.8
2026-02-04,--,17.1,0.4
2026-02-05,0.5,17.9,5.0
2026-02-06,1.5,15.1,9.7
2026-02-07,0.5,13.2,5.6
2026-02-08,--,6.5,0.0
2026-02-09,--,9.9,-2.2
2026-02-10,3.5,15.1,0.7
2026-02-11,3.5,16.6,6.9
2026-02-12,--,15.9,5.0
2026-02-13,--,18.0,2.5
2026-02-14,7.0,18.3,4.7
2026-02-15,7.0,20.5,12.4
2026-02-16,0.0,18.0,9.4
2026-02-17,--,15.0,8.7
2026-02-18,--,17.3,4.5
2026-02-19,--,15.3,3.4
2026-02-20,--,18.4,7.6
2026-02-21,--,18.5,5.3
2026-02-22,1.5,21.8,8.9
2026-02-23,--,20.8,12.1
2026-02-24,0.0,20.8,11.5
2026-02-25,39.5,23.0,16.0
2026-02-26,1.5,18.0,15.2
2026-02-27,28.5,18.0,14.8
2026-02-28,0.0,18.7,11.6
2026-03-01,0.0,17.5,8.4
2026-03-02,55.0,18.3,13.5
2026-03-03,0.0,21.8,10.7
2026-03-04,--,17.5,7.2
2026-03-05,--,16.5,8.1
2026-03-06,8.0,19.7,7.8
2026-03-07,--,16.4,7.0
2026-03-08,--,13.9,3.1
2026-03-09,--,17.4,4.8
2026-03-10,--,14.1,5.3
2026-03-11,0.5,16.2,5.9
2026-03-12,0.0,15.9,8.3
2026-03-13,0.0,15.2,6.3
2026-03-14,--,17.0,4.7
2026-03-15,--,18.7,6.6
2026-03-16,--,18.4,8.0
2026-03-17,0.0,18.9,11.3
2026-03-18,4.5,19.5,10.8
2026-03-19,0.0,20.4,12.6
2026-03-20,--,18.8,8.9
2026-03-21,0.5,18.3,12.1
2026-03-22,28.5,17.2,12.1
2026-03-23,1.5,19.9,14.2
2026-03-24,5.5,19.0,12.4
2026-03-25,43.5,16.8,14.0
2026-03-26,0.0,20.2,10.6
2026-03-27,--,20.1,11.3
2026-03-28,--,24.6,9.7
2026-03-29,--,21.3,11.3
2026-03-30,52.5,21.5,13.1
2026-03-31,103.5,24.3,14.6
2026-04-01,24.5,15.3,12.8
2026-04-02,--,22.7,10.2
2026-04-03,0.0,20.9,10.2
2026-04-04,78.5,22.2,16.8
2026-04-05,--,23.9,12.4
2026-04-06,2.5,25.1,10.3
2026-04-07,11.5,21.4,11.9
2026-04-08,--,18.4,8.9
2026-04-09,0.0,20.7,9.4
2026-04-10,4.5,25.5,19.4
2026-04-11,--,22.8,15.7
2026-04-12,2.0,23.1,15.5
2026-04-13,13.5,18.3,14.3
2026-04-14,24.0,19.2,16.5
2026-04-15,6.5,25.8,18.3
2026-04-16,--,24.2,15.6
2026-04-17,0.0,24.0,16.3
2026-04-18,0.0,24.1,18.2
2026-04-19,28.0,21.5,16.4
2026-04-20,6.0,22.9,16.2
2026-04-21,--,23.9,15.9
2026-04-22,12.0,23.5,13.7
2026-04-23,39.5,21.1,15.8
2026-04-24,1.0,19.0,16.0
2026-04-25,11.5,19.3,14.8
2026-04-26,15.5,23.2,14.3
2026-04-27,--,24.0,13.0
2026-04-28,--,28.4,13.6
2026-04-29,0.0,24.4,16.7
